Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
11_1_kaiser-bunbury_2017_seychelles_bernica,1,2,1,1,0
11_1_kaiser-bunbury_2017_seychelles_bernica,2,3,0.37786259541984735,0.28191324663713985,0.993
11_1_kaiser-bunbury_2017_seychelles_bernica,3,3,0.6221374045801527,0.7180867533628602,0.007
11_1_kaiser-bunbury_2017_seychelles_bernica,4,4,0.38962065331928347,0.40063858353772275,0.454
11_1_kaiser-bunbury_2017_seychelles_bernica,5,4,0.40173867228661747,0.5012365463131294,0.038
11_1_kaiser-bunbury_2017_seychelles_bernica,6,4,0.03530031612223393,0.028199807921832583,0.913
11_1_kaiser-bunbury_2017_seychelles_bernica,7,4,0.1733403582718651,0.06992506222731525,0.997
11_1_kaiser-bunbury_2017_seychelles_bernica,8,5,0.24046518912992404,0.203281311766686,0.704
11_1_kaiser-bunbury_2017_seychelles_bernica,9,5,0.278212859268541,0.32326470673951313,0.051
11_1_kaiser-bunbury_2017_seychelles_bernica,10,5,0.07189286553371446,0.1671824670679404,0.007
11_1_kaiser-bunbury_2017_seychelles_bernica,11,5,0.05090453441929674,0.058539364606734,0.199
11_1_kaiser-bunbury_2017_seychelles_bernica,12,5,0.0016054507009162816,0.002346762918293083,0.273
11_1_kaiser-bunbury_2017_seychelles_bernica,13,5,0.24438092254679303,0.14669242257710366,0.97
11_1_kaiser-bunbury_2017_seychelles_bernica,14,5,0.010220064218028036,0.05562520204236111,0
11_1_kaiser-bunbury_2017_seychelles_bernica,15,5,0.023494400501213878,0.025489787295586184,0.417
11_1_kaiser-bunbury_2017_seychelles_bernica,16,5,0.01159057091393218,0.0014534656317142876,1
11_1_kaiser-bunbury_2017_seychelles_bernica,17,5,0.06723314276764038,0.01612450935406809,0.998
