Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,1,1,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,0.5083612040133779,0.4052681686072048,0.992
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,0.4916387959866221,0.5947318313927952,0.008
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,0.19488428745432398,0.2378586312618391,0.217
11_2_kaiser-bunbury_2017_seychelles_casse_dent,5,4,0.47320341047503045,0.5878316071494136,0.002
11_2_kaiser-bunbury_2017_seychelles_casse_dent,6,4,0.0535931790499391,0.03796149252035899,0.98
11_2_kaiser-bunbury_2017_seychelles_casse_dent,7,4,0.27831912302070644,0.1363482690683883,0.998
11_2_kaiser-bunbury_2017_seychelles_casse_dent,8,5,0.07135922330097087,0.07869224902039058,0.52
11_2_kaiser-bunbury_2017_seychelles_casse_dent,9,5,0.20449029126213591,0.27235202882159404,0.048
11_2_kaiser-bunbury_2017_seychelles_casse_dent,10,5,0.08616504854368932,0.1726827087906623,0.006
11_2_kaiser-bunbury_2017_seychelles_casse_dent,11,5,0.06334951456310679,0.06029638551096731,0.618
11_2_kaiser-bunbury_2017_seychelles_casse_dent,12,5,0.004733009708737864,0.002734356393757516,0.895
11_2_kaiser-bunbury_2017_seychelles_casse_dent,13,5,0.3521844660194175,0.23716312222929528,0.988
11_2_kaiser-bunbury_2017_seychelles_casse_dent,14,5,0.01929611650485437,0.08746876028110323,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,15,5,0.05570388349514563,0.04593843211759032,0.822
11_2_kaiser-bunbury_2017_seychelles_casse_dent,16,5,0.015776699029126214,0.003045406229723008,1
11_2_kaiser-bunbury_2017_seychelles_casse_dent,17,5,0.12694174757281554,0.03962655060491643,0.999
