Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
11_8_kaiser-bunbury_2017_seychelles_trois_feres,1,2,1,1,0
11_8_kaiser-bunbury_2017_seychelles_trois_feres,2,3,0.35271317829457366,0.27557467573411826,0.997
11_8_kaiser-bunbury_2017_seychelles_trois_feres,3,3,0.6472868217054264,0.7244253242658818,0.003
11_8_kaiser-bunbury_2017_seychelles_trois_feres,4,4,0.310926949048496,0.365779439987767,0.124
11_8_kaiser-bunbury_2017_seychelles_trois_feres,5,4,0.512584407612032,0.5364080596927633,0.231
11_8_kaiser-bunbury_2017_seychelles_trois_feres,6,4,0.05125844076120319,0.03876085911153262,0.974
11_8_kaiser-bunbury_2017_seychelles_trois_feres,7,4,0.1252302025782689,0.05905164120793709,0.999
11_8_kaiser-bunbury_2017_seychelles_trois_feres,8,5,0.12524590163934426,0.14683368250247703,0.331
11_8_kaiser-bunbury_2017_seychelles_trois_feres,9,5,0.2778310214375788,0.30707222507981424,0.084
11_8_kaiser-bunbury_2017_seychelles_trois_feres,10,5,0.1501639344262295,0.21735174051828657,0.019
11_8_kaiser-bunbury_2017_seychelles_trois_feres,11,5,0.0876670870113493,0.07924492824190993,0.797
11_8_kaiser-bunbury_2017_seychelles_trois_feres,12,5,0.0049936948297604035,0.0042009046750548845,0.728
11_8_kaiser-bunbury_2017_seychelles_trois_feres,13,5,0.2255233291298865,0.13245496757554637,0.995
11_8_kaiser-bunbury_2017_seychelles_trois_feres,14,5,0.03914249684741488,0.06870146811742542,0.006
11_8_kaiser-bunbury_2017_seychelles_trois_feres,15,5,0.04282471626733922,0.03154023493963031,0.938
11_8_kaiser-bunbury_2017_seychelles_trois_feres,16,5,0.008726355611601514,0.0020887584194480813,0.999
11_8_kaiser-bunbury_2017_seychelles_trois_feres,17,5,0.037881462799495585,0.010511089930407187,1
