Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
12_16_bartomeus_spain_2008_Villamanriquesur_unp,1,2,1,1,0
12_16_bartomeus_spain_2008_Villamanriquesur_unp,2,3,0.21052631578947367,0.12416820930043825,0.983
12_16_bartomeus_spain_2008_Villamanriquesur_unp,3,3,0.7894736842105263,0.8758317906995617,0.015
12_16_bartomeus_spain_2008_Villamanriquesur_unp,4,4,0.5545851528384279,0.6444775125319504,0.196
12_16_bartomeus_spain_2008_Villamanriquesur_unp,5,4,0.35807860262008734,0.3369209624473518,0.593
12_16_bartomeus_spain_2008_Villamanriquesur_unp,6,4,0,0.004136053262327757,0
12_16_bartomeus_spain_2008_Villamanriquesur_unp,7,4,0.08733624454148471,0.014465471758369985,0.994
12_16_bartomeus_spain_2008_Villamanriquesur_unp,8,5,0.3121301775147929,0.39076912851937995,0.347
12_16_bartomeus_spain_2008_Villamanriquesur_unp,9,5,0.3047337278106509,0.335761675383504,0.237
12_16_bartomeus_spain_2008_Villamanriquesur_unp,10,5,0.11686390532544379,0.18336851563614423,0.28
12_16_bartomeus_spain_2008_Villamanriquesur_unp,11,5,0,0.01340869366060799,0
12_16_bartomeus_spain_2008_Villamanriquesur_unp,12,5,0,7.34618791713453e-5,0
12_16_bartomeus_spain_2008_Villamanriquesur_unp,13,5,0.23668639053254437,0.050137883962380884,0.986
12_16_bartomeus_spain_2008_Villamanriquesur_unp,14,5,0.0073964497041420114,0.023293126923135316,0.089
12_16_bartomeus_spain_2008_Villamanriquesur_unp,15,5,0,0.0017029782426718192,0
12_16_bartomeus_spain_2008_Villamanriquesur_unp,16,5,0,1.4074074074074075e-5,0
12_16_bartomeus_spain_2008_Villamanriquesur_unp,17,5,0.022189349112426034,0.0014704617189303674,0.995
