Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
1_4_bartomeus_spain_2008_medca_2_3,1,2,1,1,0
1_4_bartomeus_spain_2008_medca_2_3,2,3,0.2994350282485876,0.27562156311864744,0.809
1_4_bartomeus_spain_2008_medca_2_3,3,3,0.7005649717514124,0.7243784368813526,0.191
1_4_bartomeus_spain_2008_medca_2_3,4,4,0.3182481751824818,0.35079445836567313,0.271
1_4_bartomeus_spain_2008_medca_2_3,5,4,0.5489051094890511,0.5644705949179767,0.35
1_4_bartomeus_spain_2008_medca_2_3,6,4,0.07007299270072993,0.03551381155882838,1
1_4_bartomeus_spain_2008_medca_2_3,7,4,0.06277372262773723,0.049221135157521856,0.817
1_4_bartomeus_spain_2008_medca_2_3,8,5,0.10271546635182999,0.1238518083139446,0.342
1_4_bartomeus_spain_2008_medca_2_3,9,5,0.2711530893349075,0.3187375966429044,0.029
1_4_bartomeus_spain_2008_medca_2_3,10,5,0.21841794569067297,0.2437180022689947,0.231
1_4_bartomeus_spain_2008_medca_2_3,11,5,0.12711530893349074,0.07396856510373491,0.999
1_4_bartomeus_spain_2008_medca_2_3,12,5,0.012593467138921684,0.0034028879038840894,0.994
1_4_bartomeus_spain_2008_medca_2_3,13,5,0.136560409287682,0.11730224603903823,0.737
1_4_bartomeus_spain_2008_medca_2_3,14,5,0.07005116096025187,0.08551279535213106,0.166
1_4_bartomeus_spain_2008_medca_2_3,15,5,0.046831955922865015,0.026135222910462563,0.991
1_4_bartomeus_spain_2008_medca_2_3,16,5,0.006690279417552145,0.0011713673764868282,0.999
1_4_bartomeus_spain_2008_medca_2_3,17,5,0.007870916961826053,0.00619950808841861,0.722
