Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
1_5_bartomeus_spain_2008_miqop_1_2,1,2,1,1,0
1_5_bartomeus_spain_2008_miqop_1_2,2,3,0.15714285714285714,0.16697973393444357,0.376
1_5_bartomeus_spain_2008_miqop_1_2,3,3,0.8428571428571429,0.8330202660655565,0.6
1_5_bartomeus_spain_2008_miqop_1_2,4,4,0.5393258426966292,0.519030393099298,0.585
1_5_bartomeus_spain_2008_miqop_1_2,5,4,0.43258426966292135,0.4485433726209018,0.423
1_5_bartomeus_spain_2008_miqop_1_2,6,4,0.016853932584269662,0.01730892147800004,0.557
1_5_bartomeus_spain_2008_miqop_1_2,7,4,0.011235955056179775,0.01511731280180008,0.457
1_5_bartomeus_spain_2008_miqop_1_2,8,5,0.24480369515011546,0.23891007763586325,0.558
1_5_bartomeus_spain_2008_miqop_1_2,9,5,0.3833718244803695,0.3561955629305802,0.796
1_5_bartomeus_spain_2008_miqop_1_2,10,5,0.23094688221709006,0.24868317882185337,0.404
1_5_bartomeus_spain_2008_miqop_1_2,11,5,0.053117782909930716,0.049020261211509236,0.604
1_5_bartomeus_spain_2008_miqop_1_2,12,5,0,0.0014005569469711164,0
1_5_bartomeus_spain_2008_miqop_1_2,13,5,0.04157043879907621,0.04971505895553026,0.501
1_5_bartomeus_spain_2008_miqop_1_2,14,5,0.03926096997690531,0.048576846951547466,0.315
1_5_bartomeus_spain_2008_miqop_1_2,15,5,0.006928406466512702,0.0066383499162036425,0.619
1_5_bartomeus_spain_2008_miqop_1_2,16,5,0,9.782798921087513e-5,0
1_5_bartomeus_spain_2008_miqop_1_2,17,5,0,7.622786407306334e-4,0
