Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
3_2_dupont_2009_denmark_ib,1,2,1,1,0
3_2_dupont_2009_denmark_ib,2,3,0.0019193857965451055,0.008441160897809193,0.003
3_2_dupont_2009_denmark_ib,3,3,0.9980806142034548,0.9915588391021908,0.997
3_2_dupont_2009_denmark_ib,4,4,0.994492525570417,0.9772350047064181,0.983
3_2_dupont_2009_denmark_ib,5,4,0.0055074744295830055,0.02271256838682019,0.017
3_2_dupont_2009_denmark_ib,6,4,0,0,0
3_2_dupont_2009_denmark_ib,7,4,0,5.242690676171153e-5,0
3_2_dupont_2009_denmark_ib,8,5,0.9907548511632632,0.9532996365432092,0.966
3_2_dupont_2009_denmark_ib,9,5,0.004673371939449355,0.04025835527229126,0.018
3_2_dupont_2009_denmark_ib,10,5,0.004571776897287412,0.006102701598471076,0.599
3_2_dupont_2009_denmark_ib,11,5,0,0,0
3_2_dupont_2009_denmark_ib,12,5,0,0,0
3_2_dupont_2009_denmark_ib,13,5,0,2.0227213141942637e-4,0
3_2_dupont_2009_denmark_ib,14,5,0,1.3687047753693484e-4,0
3_2_dupont_2009_denmark_ib,15,5,0,0,0
3_2_dupont_2009_denmark_ib,16,5,0,0,0
3_2_dupont_2009_denmark_ib,17,5,0,1.639770722028046e-7,0
