Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
3_3_dupont_2009_denmark_so,1,2,1,1,0
3_3_dupont_2009_denmark_so,2,3,0,0.00511799844808672,0
3_3_dupont_2009_denmark_so,3,3,1,0.9948820015519133,1
3_3_dupont_2009_denmark_so,4,4,1,0.988656264283313,1
3_3_dupont_2009_denmark_so,5,4,0,0.011324091839223352,0
3_3_dupont_2009_denmark_so,6,4,0,0,0
3_3_dupont_2009_denmark_so,7,4,0,1.9643877463672958e-5,0
3_3_dupont_2009_denmark_so,8,5,1,0.9789872437137455,1
3_3_dupont_2009_denmark_so,9,5,0,0.02009318359970446,0
3_3_dupont_2009_denmark_so,10,5,0,8.262924885797931e-4,0
3_3_dupont_2009_denmark_so,11,5,0,0,0
3_3_dupont_2009_denmark_so,12,5,0,0,0
3_3_dupont_2009_denmark_so,13,5,0,5.7129302073229834e-5,0
3_3_dupont_2009_denmark_so,14,5,0,3.606405075210486e-5,0
3_3_dupont_2009_denmark_so,15,5,0,0,0
3_3_dupont_2009_denmark_so,16,5,0,0,0
3_3_dupont_2009_denmark_so,17,5,0,8.684514499268769e-8,0
