Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
7_1_lundgren_2005_greenland,1,2,1,1,0
7_1_lundgren_2005_greenland,2,3,0.5,0.5004714285714286,0.26
7_1_lundgren_2005_greenland,3,3,0.5,0.49952857142857143,0.263
7_1_lundgren_2005_greenland,4,4,0.23529411764705882,0.12647719600660776,0.769
7_1_lundgren_2005_greenland,5,4,0.5294117647058824,0.7180927691589456,0.033
7_1_lundgren_2005_greenland,6,4,0,0.028458333333333332,0
7_1_lundgren_2005_greenland,7,4,0.23529411764705882,0.12697170150111325,0.767
7_1_lundgren_2005_greenland,8,5,0.05,NA,NA
7_1_lundgren_2005_greenland,9,5,0.45,NA,NA
7_1_lundgren_2005_greenland,10,5,0,NA,NA
7_1_lundgren_2005_greenland,11,5,0,NA,NA
7_1_lundgren_2005_greenland,12,5,0,NA,NA
7_1_lundgren_2005_greenland,13,5,0.45,NA,NA
7_1_lundgren_2005_greenland,14,5,0,NA,NA
7_1_lundgren_2005_greenland,15,5,0,NA,NA
7_1_lundgren_2005_greenland,16,5,0,NA,NA
7_1_lundgren_2005_greenland,17,5,0.05,NA,NA
