Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np1,1,1,1,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np1,1,1,1,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np1,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np1,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np1,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np2,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np2,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np2,1,1,1,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np2,1,1,1,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np2,1,1,1,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np2,1,1,1,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np3,0.6,0.5359503740547191,0.4900229320279209,0.728,0.8115
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np3,0.5609756097560976,0.44409549000112275,0.4900229320279209,0.849,0.7245
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np3,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np3,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np3,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np4,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np4,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np4,0.3728813559322034,0.26909330193136705,0.12684733975943777,0.936,0.981
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np4,0,0.08902057108364228,0.12684733975943777,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np4,0,0.07412181828562397,0.12684733975943777,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np4,0,0.07515366773711774,0.12684733975943777,0,0
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np5,0.4,0.46404962594528093,0.5099770679720791,0.244,0.1685
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np5,0.43902439024390244,0.5559045099988772,0.5099770679720791,0.151,0.273
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np5,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np5,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np5,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np5,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np6,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np6,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np6,0.6271186440677966,0.730906698068633,0.8726526602405622,0.064,0.0195
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np6,1,0.9109794289163577,0.8726526602405622,0.821,0.72675
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np6,1,0.924878181714376,0.8726526602405622,0.531,0.72675
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np6,1,0.9238463322628823,0.8726526602405622,0.555,0.72675
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np7,0.088,0.12708952494399872,0.16360179479349485,0.376,0.273
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np7,0.14093959731543623,0.200114064642991,0.16360179479349485,0.35,0.4895
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np7,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np7,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np7,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np7,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np8,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np8,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np8,0.27184466019417475,0.34414392181284514,0.43313432858770823,0.262,0.1395
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np8,0.47368421052631576,0.46830562634048634,0.43313432858770823,0.535,0.6125
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np8,0.25,0.4586640881141569,0.43313432858770823,0.095,0.09775
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np8,0.5263157894736842,0.46142367808334467,0.43313432858770823,0.653,0.7325
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np9,0.376,0.40721766392187003,0.3579732430250913,0.428,0.6025
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np9,0.2348993288590604,0.30872882212831265,0.3579732430250913,0.253,0.1355
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np9,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np9,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np9,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np9,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np10,0.248,0.30897251768198797,0.33446915756713896,0.165,0.109
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np10,0.3422818791946309,0.35996579745228996,0.33446915756713896,0.33,0.493
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Bee,np10,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Coleoptera,np10,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Non-bee-Hymenoptera,np10,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,Syrphids,np10,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,3,np11,0,NA,NA,NA,NA
12_2_bartomeus_spain_2008_ConventodelaLuz_unp,5,np11,0,NA,NA,NA,NA
