Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
18_1_bundgaard_2003_denmark,observed,Apis mellifera,Bee,0,4,0,6,0,20,0,45,0,0,67,22,0,19,0,4,0,60,0,0,170,22,0,34,13,0,0,68,65,0,24,0,0,143,8,0,0,69,0,0,66,14,0,8,0,1
18_1_bundgaard_2003_denmark,observed,Bombus lapidarius,Bee,0,4,0,6,0,20,0,45,0,0,67,22,0,19,0,4,0,60,0,0,170,22,0,34,13,0,0,68,65,0,24,0,0,143,8,0,0,69,0,0,66,14,0,8,0,1
18_1_bundgaard_2003_denmark,observed,Bombus pascuorum,Bee,0,5,0,10,0,20,0,33,0,0,63,24,0,28,0,10,0,30,0,0,103,12,0,103,9,0,0,54,62,0,29,0,0,130,12,0,0,76,0,0,88,24,0,20,0,5
18_1_bundgaard_2003_denmark,observed,Bombus terrestris,Bee,0,6,0,15,0,27,0,54,0,0,58,49,0,43,0,20,0,65,0,0,165,45,0,29,29,0,0,35,131,0,47,0,0,112,40,0,0,84,0,0,103,58,0,38,0,15
18_1_bundgaard_2003_denmark,observed,Diptera sp.6,Non-syrphids-diptera,0,9,0,36,0,31,0,55,0,0,39,118,0,65,0,84,0,65,0,0,78,139,0,27,44,0,0,24,205,0,48,0,0,9,270,0,0,110,0,0,101,143,0,104,0,126
18_1_bundgaard_2003_denmark,observed,Diptera sp.7,Non-syrphids-diptera,0,3,0,3,0,12,0,25,0,0,55,10,0,7,0,1,0,36,0,0,110,16,0,73,0,0,0,51,24,0,5,0,0,145,4,0,0,36,0,0,37,1,0,2,0,0
18_1_bundgaard_2003_denmark,observed,Diptera sp.8,Non-syrphids-diptera,0,5,0,10,0,20,0,41,0,0,70,36,0,22,0,10,0,56,0,0,140,49,0,59,12,0,0,64,77,0,19,0,0,137,33,0,0,84,0,0,98,21,0,15,0,5
18_1_bundgaard_2003_denmark,observed,Diptera sp.9,Non-syrphids-diptera,0,1,0,0,0,7,0,21,0,0,35,0,0,0,0,-0,0,35,0,0,116,0,0,20,0,0,0,47,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
18_1_bundgaard_2003_denmark,observed,Meligethes sp. 1,Coleoptera,0,11,0,55,0,33,0,56,0,0,15,188,0,71,0,165,0,65,0,0,28,235,0,13,76,0,0,16,225,0,50,0,0,0,540,0,0,106,0,0,22,306,0,111,0,330
18_1_bundgaard_2003_denmark,observed,Cirsium arvense,4,8,0,35,0,28,0,56,0,20,151,0,0,47,0,96,0,70,0,0,279,0,0,74,0,0,33,174,0,0,36,0,43,317,0,0,24,97,0,28,231,0,0,62,0,192,0
18_1_bundgaard_2003_denmark,observed,Epilobium hirsutum,2,7,0,37,0,21,0,35,0,17,110,0,0,56,0,101,0,35,0,6,145,0,0,34,0,0,34,130,0,0,50,0,71,197,0,0,8,100,0,7,261,0,0,74,0,196,0
18_1_bundgaard_2003_denmark,observed,Stachys sylvatica,5,4,0,15,0,6,0,4,0,43,13,0,0,16,0,22,0,1,0,50,2,0,0,35,0,0,47,11,0,0,7,0,29,4,0,0,210,5,0,47,32,0,0,15,0,16,0
18_1_bundgaard_2003_denmark,observed,Trifolium arvense,1,5,0,30,0,10,0,10,0,41,50,0,0,35,0,92,0,5,0,32,39,0,0,52,0,0,56,36,0,0,23,0,156,98,0,0,38,38,0,40,154,0,0,58,0,191,0
18_1_bundgaard_2003_denmark,observed,Cirsium pratense,2,5,0,30,0,10,0,10,0,41,50,0,0,35,0,92,0,5,0,32,39,0,0,52,0,0,56,36,0,0,23,0,156,98,0,0,38,38,0,40,154,0,0,58,0,191,0
18_1_bundgaard_2003_denmark,observed,Lathyrus pratensis,3,4,0,27,0,6,0,4,0,47,29,0,0,26,0,89,0,1,0,47,16,0,0,41,0,0,50,13,0,0,13,0,193,53,0,0,36,22,0,51,110,0,0,52,0,190,0
18_1_bundgaard_2003_denmark,observed,Angelica archangelica,2,4,0,24,0,6,0,4,0,44,32,0,0,20,0,80,0,1,0,56,13,0,0,44,0,0,44,19,0,0,7,0,190,76,0,0,61,12,0,47,86,0,0,39,0,180,0
18_1_bundgaard_2003_denmark,observed,Anthriscus sylvestris,4,3,0,22,0,3,0,1,0,48,14,0,0,15,0,79,0,0,0,62,1,0,0,18,0,0,39,6,0,0,3,0,222,26,0,0,52,5,0,54,58,0,0,37,0,180,0
18_1_bundgaard_2003_denmark,observed,Rubus plicatus,1,2,0,18,0,1,0,0,0,46,2,0,0,8,0,73,0,-0,0,67,0,0,0,2,0,0,22,0,0,0,0,0,242,1,0,0,36,0,0,64,16,0,0,28,0,176,0
18_1_bundgaard_2003_denmark,observed,Torilis japonica,5,2,0,18,0,1,0,0,0,46,2,0,0,8,0,73,0,-0,0,67,0,0,0,2,0,0,22,0,0,0,0,0,242,1,0,0,36,0,0,64,16,0,0,28,0,176,0
18_1_bundgaard_2003_denmark,observed,Epilobium angustifolium,5,3,0,16,0,3,0,1,0,43,16,0,0,8,0,52,0,0,0,65,6,0,0,38,0,0,24,2,0,0,2,0,131,44,0,0,80,0,0,68,44,0,0,8,0,124,0
18_1_bundgaard_2003_denmark,observed,Silene dioica,4,1,0,10,0,0,0,-0,0,33,0,0,0,0,0,45,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,15,0,0,71,0,0,0,0,0,120,0
18_1_bundgaard_2003_denmark,random 1,Apis mellifera,Bee,0,7,0,21,0,26,0,42,0,0,56,70,0,43,0,35,0,39,0,0,100,53,0,69,41,0,0,39,139,0,30,0,0,46,104,0,0,148,0,0,94,71,0,48,0,35
18_1_bundgaard_2003_denmark,random 1,Bombus lapidarius,Bee,0,6,0,15,0,19,0,26,0,0,62,49,0,23,0,20,0,19,0,0,68,36,0,117,28,0,0,56,70,0,12,0,0,95,45,0,0,174,0,0,68,53,0,13,0,15
18_1_bundgaard_2003_denmark,random 1,Bombus pascuorum,Bee,0,5,0,10,0,20,0,35,0,0,68,36,0,22,0,10,0,35,0,0,121,31,0,70,24,0,0,61,75,0,17,0,0,103,21,0,0,122,0,0,75,33,0,11,0,5
18_1_bundgaard_2003_denmark,random 1,Bombus terrestris,Bee,0,5,0,10,0,21,0,38,0,0,68,34,0,25,0,10,0,38,0,0,133,24,0,67,19,0,0,55,84,0,22,0,0,92,30,0,0,96,0,0,88,21,0,18,0,5
18_1_bundgaard_2003_denmark,random 1,Diptera sp.6,Non-syrphids-diptera,0,9,0,36,0,30,0,48,0,0,35,126,0,57,0,84,0,43,0,0,74,116,0,36,62,0,0,21,190,0,39,0,0,22,243,0,0,170,0,0,55,198,0,67,0,126
18_1_bundgaard_2003_denmark,random 1,Diptera sp.7,Non-syrphids-diptera,0,1,0,0,0,6,0,15,0,0,34,0,0,0,0,-0,0,20,0,0,82,0,0,23,0,0,0,44,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
