Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
1_6_bartomeus_spain_2008_selop_1_2,observed,Andrena sp.,Bee,0,2,0,1,0,6,0,7,0,0,2,6,0,0,0,0,0,4,0,0,6,7,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,-0
1_6_bartomeus_spain_2008_selop_1_2,observed,Anthidium septemsp.inosum,Bee,0,1,0,0,0,6,0,15,0,0,4,0,0,0,0,-0,0,20,0,0,18,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Apis melifera,Bee,0,1,0,0,0,6,0,15,0,0,4,0,0,0,0,-0,0,20,0,0,18,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Bombus terrestris,Bee,0,1,0,0,0,6,0,15,0,0,4,0,0,0,0,-0,0,20,0,0,18,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Colletes sp.,Bee,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,-0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Dasytidae sp.,Coleoptera,0,3,0,3,0,10,0,21,0,0,4,18,0,1,0,1,0,24,0,0,12,34,0,4,15,0,0,1,8,0,0,0,0,1,8,0,0,8,0,0,0,1,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Halictus gemmeus,Bee,0,1,0,0,0,4,0,6,0,0,3,0,0,0,0,-0,0,4,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Hylaeus nigritus,Bee,0,1,0,0,0,4,0,6,0,0,3,0,0,0,0,-0,0,4,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Megachile atratula,Bee,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,-0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Mordella bipunctata,Coleoptera,0,2,0,1,0,10,0,21,0,0,6,8,0,1,0,0,0,24,0,0,20,13,0,4,15,0,0,1,8,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,-0
1_6_bartomeus_spain_2008_selop_1_2,observed,Mordellistena pumila,Coleoptera,0,3,0,3,0,9,0,12,0,0,4,16,0,1,0,1,0,8,0,0,10,21,0,12,20,0,0,1,3,0,0,0,0,1,7,0,0,8,0,0,0,1,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Myrabilis quadripunctata,Coleoptera,0,2,0,1,0,6,0,15,0,0,3,6,0,0,0,0,0,20,0,0,13,15,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,-0
1_6_bartomeus_spain_2008_selop_1_2,observed,Oedemera barbara,Non-syrphids-diptera,0,1,0,0,0,4,0,6,0,0,6,0,0,0,0,-0,0,4,0,0,14,0,0,14,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1_6_bartomeus_spain_2008_selop_1_2,observed,Oedemera flavipes,Non-syrphids-diptera,0,2,0,1,0,5,0,6,0,0,5,3,0,1,0,0,0,4,0,0,10,3,0,18,0,0,0,1,3,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,-0
