Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
10_1_souza_2017_brazil_chaco,1,np1,1,1,1,0,0
10_1_souza_2017_brazil_chaco,2,np1,1,1,1,0,0
10_1_souza_2017_brazil_chaco,3,np1,1,1,1,0,0
10_1_souza_2017_brazil_chaco,5,np1,1,1,1,0,0
10_1_souza_2017_brazil_chaco,Bee,np1,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Birds,np1,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Coleoptera,np1,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Lepidoptera,np1,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Syrphids,np1,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,1,np2,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,2,np2,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,3,np2,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,5,np2,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Bee,np2,1,1,1,0,0
10_1_souza_2017_brazil_chaco,Birds,np2,1,1,1,0,0
10_1_souza_2017_brazil_chaco,Coleoptera,np2,1,1,1,0,0
10_1_souza_2017_brazil_chaco,Lepidoptera,np2,1,1,1,0,0
10_1_souza_2017_brazil_chaco,Non-bee-Hymenoptera,np2,1,1,1,0,0
10_1_souza_2017_brazil_chaco,Syrphids,np2,1,1,1,0,0
10_1_souza_2017_brazil_chaco,1,np3,0.5632911392405063,0.5812484912721877,0.6795490213487697,0.438,0.315
10_1_souza_2017_brazil_chaco,2,np3,0.896551724137931,0.7926723205428932,0.6795490213487697,0.929,0.8855
10_1_souza_2017_brazil_chaco,3,np3,0.45185185185185184,0.48575997497446566,0.6795490213487697,0.355,0.119
10_1_souza_2017_brazil_chaco,5,np3,0.9791666666666666,0.8585152986055323,0.6795490213487697,0.95,0.98725
10_1_souza_2017_brazil_chaco,Bee,np3,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Birds,np3,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Coleoptera,np3,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Lepidoptera,np3,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Syrphids,np3,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,1,np4,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,2,np4,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,3,np4,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,5,np4,0,NA,NA,NA,NA
10_1_souza_2017_brazil_chaco,Bee,np4,0.40625,0.3464048497212622,0.1710763048545724,0.83,0.9448333333333333
10_1_souza_2017_brazil_chaco,Birds,np4,0.0625,0.1635286542847945,0.1710763048545724,0.362,0.21266666666666667
10_1_souza_2017_brazil_chaco,Coleoptera,np4,0.02631578947368421,0.1147474904476215,0.1710763048545724,0.12,0.11783333333333333
10_1_souza_2017_brazil_chaco,Lepidoptera,np4,0.041666666666666664,0.11961668964265063,0.1710763048545724,0.076,0.14283333333333334
10_1_souza_2017_brazil_chaco,Non-bee-Hymenoptera,np4,0.061855670103092786,0.15245058346727677,0.1710763048545724,0.1,0.2125
