Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,np1,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,np1,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,np1,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,5,np1,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Bee,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Birds,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Coleoptera,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Lepidoptera,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Lizards,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Syrphids,np1,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,np2,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,np2,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,np2,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,5,np2,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Bee,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Birds,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Coleoptera,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Lepidoptera,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Lizards,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Non-bee-Hymenoptera,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Non-syrphids-diptera,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Syrphids,np2,1,1,1,0,0
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,np3,0.8943661971830986,0.7156635819841616,0.6615595282639382,0.998,0.901
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,np3,0.696969696969697,0.617337058745229,0.6615595282639382,0.7,0.5715
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,np3,0.5381679389312977,0.5078174011143397,0.6615595282639382,0.704,0.26725
11_2_kaiser-bunbury_2017_seychelles_casse_dent,5,np3,0.9285714285714286,0.8054200712120224,0.6615595282639382,0.767,0.93775
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Bee,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Birds,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Coleoptera,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Lepidoptera,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Lizards,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Syrphids,np3,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,np4,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,np4,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,np4,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,5,np4,0,NA,NA,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Bee,np4,0.6273584905660378,0.47443027859751696,0.15542080154146434,1,0.999875
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Birds,np4,0.2,0.12227048486328644,0.15542080154146434,0.759,0.734375
11_2_kaiser-bunbury_2017_seychelles_casse_dent,Coleoptera,np4,0.11538461538461539,0.17782486800823935,0.15542080154146434,0.327,0.475375
