Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np1,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np1,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np1,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np1,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np1,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np2,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np2,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np2,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np2,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np2,1,1,1,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np3,0.6808510638297872,0.5827548091748881,0.570910252159767,0.774,0.8225
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np3,0.8064516129032258,0.656071011057539,0.570910252159767,0.995,0.98525
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np3,0.6527777777777778,0.5858798841892642,0.570910252159767,0.776,0.74475
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np3,0.4563953488372093,0.4589353042173765,0.570910252159767,0.474,0.1765
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np3,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np4,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np4,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np4,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np4,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np4,0.47266881028938906,0.31958867325445967,0.16662467156277694,0.998,0.999125
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np4,0.3157894736842105,0.1905689833565114,0.16662467156277694,0.892,0.89925
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np4,0.14634146341463414,0.18835677862251762,0.16662467156277694,0.344,0.4585
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np4,0,0.055653294382801054,0.16662467156277694,0,0
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np4,0.13636363636363635,0.16208429611582964,0.16662467156277694,0.39,0.4055
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np4,0.07142857142857142,0.09651799283839947,0.16662467156277694,0.368,0.182
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np4,0.0875,0.15496351867926655,0.16662467156277694,0.009,0.232
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np4,0.12244897959183673,0.16526383525243013,0.16662467156277694,0.267,0.348125
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np5,0.3191489361702128,0.41724519082511186,0.42908974784023307,0.226,0.1775
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np5,0.1935483870967742,0.34392898894246104,0.42908974784023307,0.005,0.01425
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np5,0.3472222222222222,0.4141201158107358,0.42908974784023307,0.221,0.2545
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np5,0.5436046511627907,0.5410646957826235,0.42908974784023307,0.526,0.8235
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np5,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np6,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np6,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np6,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np6,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np6,0.5273311897106109,0.6804113267455404,0.833000328437223,0.002,0.00125
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np6,0.6842105263157895,0.8094310166434886,0.833000328437223,0.107,0.100375
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np6,0.8536585365853658,0.8106432213774823,0.833000328437223,0.655,0.539
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np6,1,0.9423467056171989,0.833000328437223,0.54,0.91425
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np6,0.8636363636363636,0.8379157038841704,0.833000328437223,0.595,0.582125
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np6,0.9285714285714286,0.9034820071616005,0.833000328437223,0.616,0.807375
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np6,0.9125,0.8450364813207334,0.833000328437223,0.991,0.768375
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np6,0.8775510204081632,0.8347361647475698,0.833000328437223,0.727,0.651125
11_4_kaiser-bunbury_2017_seychelles_reserve,1,np7,0.05012531328320802,0.09379578382958263,0.11585913695716779,0.316,0.22725
11_4_kaiser-bunbury_2017_seychelles_reserve,2,np7,0.019469026548672566,0.06271013112483452,0.11585913695716779,0.025,0.03775
11_4_kaiser-bunbury_2017_seychelles_reserve,3,np7,0.049019607843137254,0.09023994814127288,0.11585913695716779,0.217,0.2185
11_4_kaiser-bunbury_2017_seychelles_reserve,4,np7,0.23314606741573032,0.21669068473298114,0.11585913695716779,0.641,0.8975
11_4_kaiser-bunbury_2017_seychelles_reserve,Bee,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Birds,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Coleoptera,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lepidoptera,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Lizards,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-bee-Hymenoptera,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Non-syrphids-diptera,np7,0,NA,NA,NA,NA
11_4_kaiser-bunbury_2017_seychelles_reserve,Syrphids,np7,0,NA,NA,NA,NA
