Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,np1,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,2,np1,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,3,np1,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,np1,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,Bee,np1,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Coleoptera,np1,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Lepidoptera,np1,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Syrphids,np1,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,np2,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,2,np2,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,3,np2,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,np2,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Bee,np2,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,Coleoptera,np2,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,Lepidoptera,np2,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,Non-bee-Hymenoptera,np2,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,Non-syrphids-diptera,np2,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,Syrphids,np2,1,1,1,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,1,np3,0.8888888888888888,0.5525495875254777,0.4547651051026333,0.807,0.8315
12_1_bartomeus_spain_2008_Aznalcazar_unp,2,np3,0,0.7227850769285754,0.4547651051026333,0,0
12_1_bartomeus_spain_2008_Aznalcazar_unp,3,np3,0.291970802919708,0.18058847403987202,0.4547651051026333,0.964,0.41725
12_1_bartomeus_spain_2008_Aznalcazar_unp,5,np3,0.5538461538461539,0.36313728191660816,0.4547651051026333,0.902,0.667
12_1_bartomeus_spain_2008_Aznalcazar_unp,Bee,np3,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Coleoptera,np3,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Lepidoptera,np3,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
12_1_bartomeus_spain_2008_Aznalcazar_unp,Syrphids,np3,0,NA,NA,NA,NA
