Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
12_5_bartomeus_spain_2008_Elpinar_unp,3,np1,1,1,1,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,5,np1,1,1,1,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,Bee,np1,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Coleoptera,np1,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,3,np2,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,5,np2,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Bee,np2,1,1,1,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,Coleoptera,np2,1,1,1,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,Non-syrphids-diptera,np2,1,1,1,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,3,np3,0.3333333333333333,0.43538225449364804,0.3940575397898194,0.281,0.378
12_5_bartomeus_spain_2008_Elpinar_unp,5,np3,0.4166666666666667,0.35273282508599074,0.3940575397898194,0.699,0.5905
12_5_bartomeus_spain_2008_Elpinar_unp,Bee,np3,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Coleoptera,np3,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,3,np4,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,5,np4,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Bee,np4,0.14814814814814814,0.12867075148861343,0.0780383385192925,0.671,0.776
12_5_bartomeus_spain_2008_Elpinar_unp,Coleoptera,np4,0,0.05326926406926407,0.0780383385192925,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,Non-syrphids-diptera,np4,0,0.052175,0.0780383385192925,0,0
12_5_bartomeus_spain_2008_Elpinar_unp,3,np5,0.6666666666666666,0.564617745506352,0.6059424602101806,0.651,0.52
12_5_bartomeus_spain_2008_Elpinar_unp,5,np5,0.5833333333333334,0.6472671749140093,0.6059424602101806,0.289,0.389
12_5_bartomeus_spain_2008_Elpinar_unp,Bee,np5,0,NA,NA,NA,NA
12_5_bartomeus_spain_2008_Elpinar_unp,Coleoptera,np5,0,NA,NA,NA,NA
