Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
12_7_bartomeus_spain_2008_Esparragal_unp,2,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,5,np1,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np1,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np2,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np2,1,1,1,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np3,0,0.3061759947667758,0.38399544098394156,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np3,0.4,0.4159782980419893,0.38399544098394156,0.457,0.514
12_7_bartomeus_spain_2008_Esparragal_unp,5,np3,0.6666666666666666,0.42983203014305954,0.38399544098394156,0.771,0.8093333333333333
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np3,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np3,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np3,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np4,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np4,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np4,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np4,0.1875,0.11689314676598829,0.07332668384263101,0.911,0.8683333333333333
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np4,0,0.04844166666666667,0.07332668384263101,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np4,0,0.054645238095238094,0.07332668384263101,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np5,1,0.6268240052332241,0.5886712256827251,0.806,0.9036666666666666
12_7_bartomeus_spain_2008_Esparragal_unp,3,np5,0.6,0.5790217019580107,0.5886712256827251,0.422,0.419
12_7_bartomeus_spain_2008_Esparragal_unp,5,np5,0.3333333333333333,0.5601679698569404,0.5886712256827251,0.12,0.12566666666666668
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np5,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np5,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np5,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np6,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np6,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np6,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np6,0.8125,0.8831068532340117,0.8870066494907023,0.07,0.165
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np6,1,0.8815583333333333,0.8870066494907023,0.231,0.47833333333333333
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np6,1,0.8963547619047619,0.8870066494907023,0.23,0.47833333333333333
12_7_bartomeus_spain_2008_Esparragal_unp,2,np7,1,0.2570359928282401,0.20762863557994954,0.896,0.946
12_7_bartomeus_spain_2008_Esparragal_unp,3,np7,0.25,0.21097000577728134,0.20762863557994954,0.654,0.6626666666666666
12_7_bartomeus_spain_2008_Esparragal_unp,5,np7,0,0.1548799081343272,0.20762863557994954,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np7,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np7,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np7,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np8,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np8,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np8,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np8,0.4166666666666667,0.48873267259866643,0.450042984604358,0.351,0.432
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np8,1,0.4199468351368989,0.450042984604358,0.845,0.9016666666666666
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np8,0,0.44144944607750874,0.450042984604358,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np9,0,0.2423194840619994,0.38006906961743414,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np9,0.5,0.4427157546493268,0.38006906961743414,0.564,0.6226666666666667
12_7_bartomeus_spain_2008_Esparragal_unp,5,np9,0.25,0.45517197014097627,0.38006906961743414,0.243,0.368
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np9,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np9,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np9,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np10,0,0.305503235570677,0.29462477991090286,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np10,0,0.2832340057335942,0.29462477991090286,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,5,np10,0.5,0.29513709842843744,0.29462477991090286,0.795,0.785
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np10,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np10,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np10,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np11,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np11,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np11,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np11,0.16666666666666666,0.2427141610167064,0.2759585900405652,0.18,0.39
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np11,0,0.28525153856385094,0.2759585900405652,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np11,1,0.29991007054113833,0.2759585900405652,0.888,0.9213333333333333
12_7_bartomeus_spain_2008_Esparragal_unp,2,np12,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np12,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np12,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np12,0.3333333333333333,0.2550499535055824,0.15099790053440215,0.72,0.797
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np12,0,0.08843998973038741,0.15099790053440215,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np12,0,0.10950375836723662,0.15099790053440215,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np13,0,0.0016733877233877233,0.0023351685351685352,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np13,0,0.002888431013431013,0.0023351685351685352,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,5,np13,0,0.0024436868686868686,0.0023351685351685352,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np13,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np13,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np13,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np14,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np14,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np14,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np14,0,0.0024952091166487453,0.0013400697055495816,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np14,0,4.916666666666666e-4,0.0013400697055495816,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np14,0,0.0010333333333333334,0.0013400697055495816,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np15,0,0.027467899815695807,0.03600901302321156,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np15,0.25,0.038191802826366666,0.03600901302321156,0.968,0.9643333333333334
12_7_bartomeus_spain_2008_Esparragal_unp,5,np15,0.25,0.0423673364275722,0.03600901302321156,0.953,0.9643333333333334
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np15,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np15,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np15,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,2,np16,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,3,np16,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,5,np16,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np16,0.08333333333333333,0.01100800376239605,0.0043271217817917006,0.98,0.9906666666666667
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np16,0,8.699699021960686e-4,0.0043271217817917006,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np16,0,0.0011033916807829851,0.0043271217817917006,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,2,np17,0,0.07341374259452407,0.054537703750513186,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,3,np17,0,0.057935802679474985,0.054537703750513186,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,5,np17,0,0.03226356597754051,0.054537703750513186,0,0
12_7_bartomeus_spain_2008_Esparragal_unp,Bee,np17,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Coleoptera,np17,0,NA,NA,NA,NA
12_7_bartomeus_spain_2008_Esparragal_unp,Lepidoptera,np17,0,NA,NA,NA,NA
