Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
12_9_bartomeus_spain_2008_LaRocina_unp,3,np1,1,1,1,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,5,np1,1,1,1,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np1,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np1,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,3,np2,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,5,np2,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np2,1,1,1,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np2,1,1,1,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np2,1,1,1,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,3,np3,0.5,0.39053261245381377,0.25726614450237345,0.798,0.899
12_9_bartomeus_spain_2008_LaRocina_unp,5,np3,0.13636363636363635,0.1239996765509332,0.25726614450237345,0.691,0.3455
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np3,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np3,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,3,np4,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,5,np4,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np4,0.07096774193548387,0.05633454307700597,0.039804478932892164,0.827,0.8276666666666667
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np4,0,0.028219873766584292,0.039804478932892164,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np4,0,0.03485901995508622,0.039804478932892164,0,0
12_9_bartomeus_spain_2008_LaRocina_unp,3,np5,0.5,0.6094673875461862,0.7427338554976265,0.149,0.0745
12_9_bartomeus_spain_2008_LaRocina_unp,5,np5,0.8636363636363636,0.8760003234490668,0.7427338554976265,0.302,0.651
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np5,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np5,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np5,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,3,np6,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,5,np6,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np6,0.9290322580645162,0.9436654569229941,0.9455288544004412,0.173,0.187
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np6,1,0.9277801262334157,0.9455288544004412,0.254,0.595
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np6,1,0.9651409800449138,0.9455288544004412,0.531,0.595
12_9_bartomeus_spain_2008_LaRocina_unp,3,np7,0.05555555555555555,0.16067778347402115,0.4052032857655004,0.193,0.0965
12_9_bartomeus_spain_2008_LaRocina_unp,5,np7,0.6318681318681318,0.6497287880569796,0.4052032857655004,0.393,0.6965
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np7,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np7,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np7,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,3,np8,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,5,np8,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np8,0.7567567567567568,0.7746255015098394,0.7398913163066113,0.361,0.39166666666666666
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np8,0.8870967741935484,0.6591491386064239,0.7398913163066113,0.718,0.8296666666666667
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np8,0.8266666666666667,0.7858993088035707,0.7398913163066113,0.557,0.6253333333333333
12_9_bartomeus_spain_2008_LaRocina_unp,3,np9,0.6888888888888889,0.5870040031953159,0.35257777006394675,0.726,0.863
12_9_bartomeus_spain_2008_LaRocina_unp,5,np9,0.09615384615384616,0.11815153693257759,0.35257777006394675,0.392,0.196
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np9,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np9,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np9,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,3,np10,0.13333333333333333,0.20834925333816753,0.21253660146360587,0.161,0.107
12_9_bartomeus_spain_2008_LaRocina_unp,5,np10,0.23351648351648352,0.21672394958904417,0.21253660146360587,0.624,0.6175
12_9_bartomeus_spain_2008_LaRocina_unp,Bee,np10,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Non-syrphids-diptera,np10,0,NA,NA,NA,NA
12_9_bartomeus_spain_2008_LaRocina_unp,Syrphids,np10,0,NA,NA,NA,NA
