Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,np1,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,np1,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,np1,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Bee,np1,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Coleoptera,np1,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Lizards,np1,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Syrphids,np1,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,np2,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,np2,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,np2,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Bee,np2,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Coleoptera,np2,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Lizards,np2,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Non-bee-Hymenoptera,np2,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Non-syrphids-diptera,np2,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Syrphids,np2,1,1,1,0,0
13_4_kaiser-bunbury_2011_seychelles_la_reserve,2,np3,0.7737556561085973,0.6288300300884822,0.5331587643382241,0.989,0.9963333333333333
13_4_kaiser-bunbury_2011_seychelles_la_reserve,3,np3,0.5126903553299492,0.4682537867906816,0.5331587643382241,0.785,0.469
13_4_kaiser-bunbury_2011_seychelles_la_reserve,4,np3,0.583732057416268,0.5023924761355083,0.5331587643382241,0.898,0.6986666666666667
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Bee,np3,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Coleoptera,np3,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Lizards,np3,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
13_4_kaiser-bunbury_2011_seychelles_la_reserve,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
