Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
15_1_peralta_2006_mendoza_site_1,1,np1,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,2,np1,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,3,np1,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,4,np1,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,Bee,np1,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Coleoptera,np1,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Lepidoptera,np1,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Syrphids,np1,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,1,np2,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,2,np2,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,3,np2,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,4,np2,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Bee,np2,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,Coleoptera,np2,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,Lepidoptera,np2,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,Non-bee-Hymenoptera,np2,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,Non-syrphids-diptera,np2,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,Syrphids,np2,1,1,1,0,0
15_1_peralta_2006_mendoza_site_1,1,np3,0.7692307692307693,0.6509742000508657,0.6124244715921972,0.738,0.75175
15_1_peralta_2006_mendoza_site_1,2,np3,0.5360824742268041,0.4623815502544246,0.6124244715921972,0.847,0.47375
15_1_peralta_2006_mendoza_site_1,3,np3,0.5,0.49221557899483576,0.6124244715921972,0.547,0.362
15_1_peralta_2006_mendoza_site_1,4,np3,0,0.8441265570686624,0.6124244715921972,0,0
15_1_peralta_2006_mendoza_site_1,Bee,np3,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Coleoptera,np3,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Lepidoptera,np3,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Syrphids,np3,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,1,np4,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,2,np4,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,3,np4,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,4,np4,0,NA,NA,NA,NA
15_1_peralta_2006_mendoza_site_1,Bee,np4,0.28125,0.23461376729646327,0.11725988395882568,0.907,0.9596666666666667
15_1_peralta_2006_mendoza_site_1,Coleoptera,np4,0,0.06072640478481002,0.11725988395882568,0,0
15_1_peralta_2006_mendoza_site_1,Lepidoptera,np4,0,0.07246281362639997,0.11725988395882568,0,0
15_1_peralta_2006_mendoza_site_1,Non-bee-Hymenoptera,np4,0.045454545454545456,0.1017663686068532,0.11725988395882568,0.142,0.268
15_1_peralta_2006_mendoza_site_1,Non-syrphids-diptera,np4,0.07692307692307693,0.11582396972240344,0.11725988395882568,0.332,0.3551666666666667
15_1_peralta_2006_mendoza_site_1,Syrphids,np4,0.1,0.11816597971602419,0.11725988395882568,0.448,0.46066666666666667
15_1_peralta_2006_mendoza_site_1,1,np5,0.23076923076923078,0.34202579994913423,0.3785755284078029,0.253,0.2515
15_1_peralta_2006_mendoza_site_1,2,np5,0.4639175257731959,0.5376184497455754,0.3785755284078029,0.153,0.53525
15_1_peralta_2006_mendoza_site_1,3,np5,0.5,0.5077844210051643,0.3785755284078029,0.422,0.60425
15_1_peralta_2006_mendoza_site_1,4,np5,0,0.12687344293133768,0.3785755284078029,0,0
