Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
18_1_bundgaard_2003_denmark,1,np1,1,1,1,0,0
18_1_bundgaard_2003_denmark,2,np1,1,1,1,0,0
18_1_bundgaard_2003_denmark,3,np1,1,1,1,0,0
18_1_bundgaard_2003_denmark,4,np1,1,1,1,0,0
18_1_bundgaard_2003_denmark,5,np1,1,1,1,0,0
18_1_bundgaard_2003_denmark,Bee,np1,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,Coleoptera,np1,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,1,np2,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,2,np2,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,3,np2,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,4,np2,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,5,np2,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,Bee,np2,1,1,1,0,0
18_1_bundgaard_2003_denmark,Coleoptera,np2,1,1,1,0,0
18_1_bundgaard_2003_denmark,Non-syrphids-diptera,np2,1,1,1,0,0
18_1_bundgaard_2003_denmark,1,np3,0.8135593220338984,0.7737188520974543,0.7588830904476318,0.721,0.7886
18_1_bundgaard_2003_denmark,2,np3,0.7109375,0.7125252485237863,0.7588830904476318,0.493,0.2494
18_1_bundgaard_2003_denmark,3,np3,0.8181818181818182,0.7762516184904532,0.7588830904476318,0.691,0.8026
18_1_bundgaard_2003_denmark,4,np3,0.6836734693877551,0.7369901372050929,0.7588830904476318,0.165,0.1346
18_1_bundgaard_2003_denmark,5,np3,0.8305084745762712,0.7949295959213724,0.7588830904476318,0.759,0.8462
18_1_bundgaard_2003_denmark,Bee,np3,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,Coleoptera,np3,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,1,np4,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,2,np4,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,3,np4,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,4,np4,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,5,np4,0,NA,NA,NA,NA
18_1_bundgaard_2003_denmark,Bee,np4,0.29838709677419356,0.376139432830838,0.42812280441466644,0.032,0.026
18_1_bundgaard_2003_denmark,Coleoptera,np4,0.625,0.5128710140015634,0.42812280441466644,0.972,0.9906666666666667
18_1_bundgaard_2003_denmark,Non-syrphids-diptera,np4,0.4117647058823529,0.3953579664115979,0.42812280441466644,0.59,0.49133333333333334
