Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
3_3_dupont_2009_denmark_so,1,np1,1,1,1,0,0
3_3_dupont_2009_denmark_so,2,np1,1,1,1,0,0
3_3_dupont_2009_denmark_so,3,np1,1,1,1,0,0
3_3_dupont_2009_denmark_so,4,np1,1,1,1,0,0
3_3_dupont_2009_denmark_so,5,np1,1,1,1,0,0
3_3_dupont_2009_denmark_so,Bee,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Coleoptera,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Lepidoptera,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Other_insects,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Syrphids,np1,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,1,np2,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,2,np2,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,3,np2,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,4,np2,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,5,np2,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Bee,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,Coleoptera,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,Lepidoptera,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,Non-bee-Hymenoptera,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,Non-syrphids-diptera,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,Other_insects,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,Syrphids,np2,1,1,1,0,0
3_3_dupont_2009_denmark_so,1,np3,0,0.4346257244999479,0.1788276063380239,0,0
3_3_dupont_2009_denmark_so,2,np3,0,0.01702642288120643,0.1788276063380239,0,0
3_3_dupont_2009_denmark_so,3,np3,0,0.006190617539320801,0.1788276063380239,0,0
3_3_dupont_2009_denmark_so,4,np3,0,0.4287704158518619,0.1788276063380239,0,0
3_3_dupont_2009_denmark_so,5,np3,0,0.007524850917782398,0.1788276063380239,0,0
3_3_dupont_2009_denmark_so,Bee,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Coleoptera,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Lepidoptera,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Other_insects,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Syrphids,np3,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,1,np4,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,2,np4,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,3,np4,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,4,np4,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,5,np4,0,NA,NA,NA,NA
3_3_dupont_2009_denmark_so,Bee,np4,0,0.002598893928405716,0.0034525659929241993,0,0
3_3_dupont_2009_denmark_so,Coleoptera,np4,0,0.0027677170158864656,0.0034525659929241993,0,0
3_3_dupont_2009_denmark_so,Lepidoptera,np4,0,0.00271591315112734,0.0034525659929241993,0,0
