Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
5_1_fang_2008_china,1,np1,1,1,1,0,0
5_1_fang_2008_china,2,np1,1,1,1,0,0
5_1_fang_2008_china,3,np1,1,1,1,0,0
5_1_fang_2008_china,4,np1,1,1,1,0,0
5_1_fang_2008_china,5,np1,1,1,1,0,0
5_1_fang_2008_china,Bee,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,Coleoptera,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,Lepidoptera,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-bee-Hymenoptera,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,Other_insects,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,Syrphids,np1,0,NA,NA,NA,NA
5_1_fang_2008_china,1,np2,0,NA,NA,NA,NA
5_1_fang_2008_china,2,np2,0,NA,NA,NA,NA
5_1_fang_2008_china,3,np2,0,NA,NA,NA,NA
5_1_fang_2008_china,4,np2,0,NA,NA,NA,NA
5_1_fang_2008_china,5,np2,0,NA,NA,NA,NA
5_1_fang_2008_china,Bee,np2,1,1,1,0,0
5_1_fang_2008_china,Coleoptera,np2,1,1,1,0,0
5_1_fang_2008_china,Lepidoptera,np2,1,1,1,0,0
5_1_fang_2008_china,Non-bee-Hymenoptera,np2,1,1,1,0,0
5_1_fang_2008_china,Non-syrphids-diptera,np2,1,1,1,0,0
5_1_fang_2008_china,Other_insects,np2,1,1,1,0,0
5_1_fang_2008_china,Syrphids,np2,1,1,1,0,0
5_1_fang_2008_china,1,np3,0.9498249708284714,0.8994095911618394,0.8200273316197036,0.998,0.9996
5_1_fang_2008_china,2,np3,0.8175736756463569,0.7879747650145843,0.8200273316197036,0.984,0.5364
5_1_fang_2008_china,3,np3,0.8109924871490708,0.7951963121599951,0.8200273316197036,0.752,0.5054
5_1_fang_2008_china,4,np3,0.7165109034267912,0.740083229853871,0.8200273316197036,0.386,0.0774
5_1_fang_2008_china,5,np3,0.9400374765771393,0.8774727599082283,0.8200273316197036,1,0.9978
5_1_fang_2008_china,Bee,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,Coleoptera,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,Lepidoptera,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-bee-Hymenoptera,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,Other_insects,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,Syrphids,np3,0,NA,NA,NA,NA
5_1_fang_2008_china,1,np4,0,NA,NA,NA,NA
5_1_fang_2008_china,2,np4,0,NA,NA,NA,NA
5_1_fang_2008_china,3,np4,0,NA,NA,NA,NA
5_1_fang_2008_china,4,np4,0,NA,NA,NA,NA
5_1_fang_2008_china,5,np4,0,NA,NA,NA,NA
5_1_fang_2008_china,Bee,np4,0.73234378740723,0.6317879492511884,0.28930741909964675,1,0.9998571428571429
5_1_fang_2008_china,Coleoptera,np4,0,0.05900617922620718,0.28930741909964675,0,0
5_1_fang_2008_china,Lepidoptera,np4,0.17982456140350878,0.209197251083171,0.28930741909964675,0.24,0.386
5_1_fang_2008_china,Non-bee-Hymenoptera,np4,0.09917355371900827,0.17436019524986457,0.28930741909964675,0.072,0.22285714285714286
5_1_fang_2008_china,Non-syrphids-diptera,np4,0.4252941176470588,0.4504120365216957,0.28930741909964675,0.237,0.6512857142857142
5_1_fang_2008_china,Other_insects,np4,0,0.062064319555068546,0.28930741909964675,0,0
5_1_fang_2008_china,Syrphids,np4,0.41748131109833236,0.4383240028103317,0.28930741909964675,0.242,0.6318571428571429
5_1_fang_2008_china,1,np5,0.050175029171528586,0.1005904088381606,0.17997266838029635,0.002,4e-4
5_1_fang_2008_china,2,np5,0.18242632435364312,0.21202523498541567,0.17997266838029635,0.016,0.4636
5_1_fang_2008_china,3,np5,0.18900751285092923,0.20480368784000488,0.17997266838029635,0.248,0.4946
5_1_fang_2008_china,4,np5,0.2834890965732087,0.25991677014612896,0.17997266838029635,0.614,0.9226
5_1_fang_2008_china,5,np5,0.059962523422860715,0.12252724009177168,0.17997266838029635,0,0.0022
5_1_fang_2008_china,Bee,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,Coleoptera,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,Lepidoptera,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-bee-Hymenoptera,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-syrphids-diptera,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,Other_insects,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,Syrphids,np5,0,NA,NA,NA,NA
5_1_fang_2008_china,1,np6,0,NA,NA,NA,NA
5_1_fang_2008_china,2,np6,0,NA,NA,NA,NA
5_1_fang_2008_china,3,np6,0,NA,NA,NA,NA
5_1_fang_2008_china,4,np6,0,NA,NA,NA,NA
5_1_fang_2008_china,5,np6,0,NA,NA,NA,NA
5_1_fang_2008_china,Bee,np6,0.26765621259276995,0.3682120507488116,0.7101211523289247,0,7.142857142857143e-4
5_1_fang_2008_china,Coleoptera,np6,1,0.9389938207737928,0.7101211523289247,0.582,0.8825714285714286
5_1_fang_2008_china,Lepidoptera,np6,0.8201754385964912,0.790802748916829,0.7101211523289247,0.76,0.6145714285714285
5_1_fang_2008_china,Non-bee-Hymenoptera,np6,0.9008264462809917,0.8256398047501354,0.7101211523289247,0.928,0.7777142857142857
5_1_fang_2008_china,Non-syrphids-diptera,np6,0.5747058823529412,0.5495879634783043,0.7101211523289247,0.763,0.3492857142857143
5_1_fang_2008_china,Other_insects,np6,1,0.9359356804449315,0.7101211523289247,0.596,0.8825714285714286
5_1_fang_2008_china,Syrphids,np6,0.5825186889016676,0.5616759971896683,0.7101211523289247,0.758,0.3687142857142857
5_1_fang_2008_china,1,np7,0.0012539789717372432,0.006127829707962991,0.025478786734319026,0.003,6e-4
5_1_fang_2008_china,2,np7,0.024428282699683307,0.03217413169369655,0.025478786734319026,0.044,0.4946
5_1_fang_2008_china,3,np7,0.02628307272058695,0.030625297614067824,0.025478786734319026,0.327,0.5356
5_1_fang_2008_china,4,np7,0.056451612903225805,0.04814653382535139,0.025478786734319026,0.655,0.93
5_1_fang_2008_china,5,np7,0.00276661774965718,0.010320140830516364,0.025478786734319026,0.001,0.0166
5_1_fang_2008_china,Bee,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,Coleoptera,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,Lepidoptera,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-bee-Hymenoptera,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-syrphids-diptera,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,Other_insects,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,Syrphids,np7,0,NA,NA,NA,NA
5_1_fang_2008_china,1,np8,0,NA,NA,NA,NA
5_1_fang_2008_china,2,np8,0,NA,NA,NA,NA
5_1_fang_2008_china,3,np8,0,NA,NA,NA,NA
5_1_fang_2008_china,4,np8,0,NA,NA,NA,NA
5_1_fang_2008_china,5,np8,0,NA,NA,NA,NA
5_1_fang_2008_china,Bee,np8,0.0466852456044952,0.07900979099765211,0.16384225278614728,0,0.013142857142857144
5_1_fang_2008_china,Coleoptera,np8,0.45064377682403434,0.19366322091589402,0.16384225278614728,0.997,0.9994285714285714
5_1_fang_2008_china,Lepidoptera,np8,0.19568245125348188,0.1985269043290841,0.16384225278614728,0.483,0.7021428571428572
5_1_fang_2008_china,Non-bee-Hymenoptera,np8,0.22077393075356416,0.20376541545736016,0.16384225278614728,0.724,0.8282857142857143
5_1_fang_2008_china,Non-syrphids-diptera,np8,0.1542735585471171,0.13536809216304901,0.16384225278614728,0.866,0.48542857142857143
5_1_fang_2008_china,Other_insects,np8,0.45064377682403434,0.1952402303582211,0.16384225278614728,0.999,0.9994285714285714
5_1_fang_2008_china,Syrphids,np8,0.14910116320056396,0.14132211528177033,0.16384225278614728,0.712,0.45557142857142857
5_1_fang_2008_china,1,np9,0.1952348799073985,0.27961265352889486,0.2331611686507666,0.001,0.1492
5_1_fang_2008_china,2,np9,0.1658258669255375,0.21426513705029623,0.2331611686507666,0,0.0606
5_1_fang_2008_china,3,np9,0.16834474426097462,0.2179409335085084,0.2331611686507666,0,0.0652
5_1_fang_2008_china,4,np9,0.16764888337468983,0.18901647407868669,0.2331611686507666,0.316,0.0632
5_1_fang_2008_china,5,np9,0.15966993047369307,0.2649706450874469,0.2331611686507666,0,0.0462
5_1_fang_2008_china,Bee,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,Coleoptera,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,Lepidoptera,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-bee-Hymenoptera,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,Non-syrphids-diptera,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,Other_insects,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,Syrphids,np9,0,NA,NA,NA,NA
5_1_fang_2008_china,1,np10,0.06593035593710814,0.1271352956256649,0.21256285940380637,0.002,4e-4
5_1_fang_2008_china,2,np10,0.20023234718398397,0.24763962243755874,0.21256285940380637,0.002,0.4176
5_1_fang_2008_china,3,np10,0.1855399324099529,0.23983512543056115,0.21256285940380637,0.01,0.3908
5_1_fang_2008_china,4,np10,0.28318858560794047,0.29603194010682393,0.21256285940380637,0.426,0.8764
5_1_fang_2008_china,5,np10,0.0785960016359131,0.15217231341842308,0.21256285940380637,0.001,0.0028
5_1_fang_2008_china,Bee,np10,0,NA,NA,NA,NA
5_1_fang_2008_china,Coleoptera,np10,0,NA,NA,NA,NA
5_1_fang_2008_china,Lepidoptera,np10,0,NA,NA,NA,NA
