Network_id,Node_FG,position,observed_freq,expected_freq_its_GF,expected_freq_all_GF,percentil_its_GF,percentil_all_GF
6_1_inouye_1988_australia,1,np1,1,1,1,0,0
6_1_inouye_1988_australia,2,np1,1,1,1,0,0
6_1_inouye_1988_australia,3,np1,1,1,1,0,0
6_1_inouye_1988_australia,4,np1,1,1,1,0,0
6_1_inouye_1988_australia,5,np1,1,1,1,0,0
6_1_inouye_1988_australia,Bee,np1,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Non-syrphids-diptera,np1,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Syrphids,np1,0,NA,NA,NA,NA
6_1_inouye_1988_australia,1,np2,0,NA,NA,NA,NA
6_1_inouye_1988_australia,2,np2,0,NA,NA,NA,NA
6_1_inouye_1988_australia,3,np2,0,NA,NA,NA,NA
6_1_inouye_1988_australia,4,np2,0,NA,NA,NA,NA
6_1_inouye_1988_australia,5,np2,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Bee,np2,1,1,1,0,0
6_1_inouye_1988_australia,Non-syrphids-diptera,np2,1,1,1,0,0
6_1_inouye_1988_australia,Syrphids,np2,1,1,1,0,0
6_1_inouye_1988_australia,1,np3,1,0.9412509275875018,0.898447397613804,0.529,0.7972
6_1_inouye_1988_australia,2,np3,0.8266666666666667,0.8435402980523752,0.898447397613804,0.341,0.182
6_1_inouye_1988_australia,3,np3,0.9696969696969697,0.9160063111307208,0.898447397613804,0.79,0.794
6_1_inouye_1988_australia,4,np3,0.8888888888888888,0.8768640561752801,0.898447397613804,0.46,0.4044
6_1_inouye_1988_australia,5,np3,0.9629629629629629,0.914575395123142,0.898447397613804,0.781,0.78
6_1_inouye_1988_australia,Bee,np3,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Non-syrphids-diptera,np3,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Syrphids,np3,0,NA,NA,NA,NA
6_1_inouye_1988_australia,1,np4,0,NA,NA,NA,NA
6_1_inouye_1988_australia,2,np4,0,NA,NA,NA,NA
6_1_inouye_1988_australia,3,np4,0,NA,NA,NA,NA
6_1_inouye_1988_australia,4,np4,0,NA,NA,NA,NA
6_1_inouye_1988_australia,5,np4,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Bee,np4,0.7540983606557377,0.6701388996564298,0.47111479791922173,0.802,0.9203333333333333
6_1_inouye_1988_australia,Non-syrphids-diptera,np4,0.6326530612244898,0.5915447655023489,0.47111479791922173,0.636,0.6376666666666667
6_1_inouye_1988_australia,Syrphids,np4,0,0.1516607285988865,0.47111479791922173,0,0
6_1_inouye_1988_australia,1,np5,0,0.05874907241249821,0.10155260238619603,0,0
6_1_inouye_1988_australia,2,np5,0.17333333333333334,0.1564597019476248,0.10155260238619603,0.656,0.8174
6_1_inouye_1988_australia,3,np5,0.030303030303030304,0.08399368886927913,0.10155260238619603,0.208,0.2048
6_1_inouye_1988_australia,4,np5,0.1111111111111111,0.12313594382471997,0.10155260238619603,0.505,0.5712
6_1_inouye_1988_australia,5,np5,0.037037037037037035,0.08542460487685803,0.10155260238619603,0.209,0.2158
6_1_inouye_1988_australia,Bee,np5,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Non-syrphids-diptera,np5,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Syrphids,np5,0,NA,NA,NA,NA
6_1_inouye_1988_australia,1,np6,0,NA,NA,NA,NA
6_1_inouye_1988_australia,2,np6,0,NA,NA,NA,NA
6_1_inouye_1988_australia,3,np6,0,NA,NA,NA,NA
6_1_inouye_1988_australia,4,np6,0,NA,NA,NA,NA
6_1_inouye_1988_australia,5,np6,0,NA,NA,NA,NA
6_1_inouye_1988_australia,Bee,np6,0.2459016393442623,0.32986110034357025,0.49755186874744495,0.193,0.109
6_1_inouye_1988_australia,Non-syrphids-diptera,np6,0.3673469387755102,0.40845523449765103,0.49755186874744495,0.362,0.393
6_1_inouye_1988_australia,Syrphids,np6,1,0.7543392714011135,0.49755186874744495,0.516,0.8386666666666667
6_1_inouye_1988_australia,1,np7,0,0.0021727944995931295,0.007638596999418139,0,0
6_1_inouye_1988_australia,2,np7,0.017595307917888565,0.01769727342082261,0.007638596999418139,0.611,0.8554
6_1_inouye_1988_australia,3,np7,0,0.004644917695307754,0.007638596999418139,0,0
