"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"Abelmoschus manihot","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,1,14,14,5.5,6,105,"shrub","Perennial",2
"Abutilon depauperatum","Malvales","Malvaceae","Abutilon","Abutilon depauperatum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",50,5,15,15,15,4,30,"shrub","Perennial",1.75
"Abutilon theophrasti","Malvales","Malvaceae","Abutilon","Abutilon theophrasti","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,5,12.5,12.5,2.5,4,34,"herb","Short lived",1.25
"Acacia adealbata","Fabales","Fabaceae","Acacia","Acacia dealbata","Hermaphrodite","partially_self_compatible","low",0.4,"Brush","actinomorphic",65000,150,40,5.75,5.75,3.5,13,"tree","Perennial",8.5
"Acacia insulae-iacobi","Fabales","Fabaceae","Acacia","Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,5,40,9.57883333333333,2.1,3.5,12,"tree","Perennial",5
"Acacia rurodiana","Fabales","Fabaceae","Acacia","Acacia rorudiana","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,20,40,6,2.35,7,16,"shrub","Perennial",3.1
"Acantholippia seriphioides","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,50,24,6,3,3,2,"shrub","Perennial",0.45
"Acer carpinifolium","Sapindales","Sapindaceae","Acer","Acer carpinifolium","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,100,40,9.1,2.1,2,4,"tree","Perennial",6.5
"Acer insulae","Sapindales","Sapindaceae","Acer","Acer caudatifolium","Hermaphrodite","dioecious","none",0,"Open","actinomorphic",5000,15,20,5,5,1,8,"tree","Perennial",6.1
"Acer negundo","Sapindales","Sapindaceae","Acer","Acer negundo","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,15,20,5.6,5.1,6.65,4,"tree","Perennial",8
