x,y,PANEL,group,flipped_aes,colour,size,linetype,alpha,repetition
0,0.43915533560898956,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.03,0.44004997653752376,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.06,0.440944617466058,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.09,0.4418392583945922,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.12,0.44273389932312646,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.15,0.44362854025166065,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.18,0.4445231811801949,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.21,0.44541782210872916,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.24,0.44631246303726335,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.27,0.4472071039657976,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.3,0.4481017448943318,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.32999999999999996,0.44899638582286605,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.36,0.44989102675140025,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.39,0.4507856676799345,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.42,0.45168030860846875,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.44999999999999996,0.45257494953700295,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.48,0.4534695904655372,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.51,0.4543642313940714,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.54,0.45525887232260565,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.57,0.4561535132511399,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.6,0.4570481541796741,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.63,0.45794279510820834,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.6599999999999999,0.45883743603674254,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.69,0.4597320769652768,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.72,0.460626717893811,1,-1,FALSE,#008DFFFF,1,1,NA,1
