x,y,PANEL,group,flipped_aes,colour,size,linetype,alpha,repetition
0,0.4783050932170607,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.01,0.47996709372903246,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.02,0.4816290942410042,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.03,0.4832910947529759,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.04,0.4849530952649476,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.05,0.48661509577691936,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.06,0.4882770962888911,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.07,0.48993909680086284,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.08,0.4916010973128346,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.09,0.49326309782480626,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.1,0.494925098336778,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.11,0.49658709884874974,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.12,0.4982490993607214,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.13,0.49991109987269317,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.14,0.501573100384665,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.15,0.5032351008966367,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.16,0.5048971014086084,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.17,0.5065591019205801,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.18,0.5082211024325518,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.19,0.5098831029445235,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.2,0.5115451034564953,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.21,0.513207103968467,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.22,0.5148691044804388,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.23,0.5165311049924105,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.24,0.5181931055043822,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.25,0.519855106016354,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.26,0.5215171065283257,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.27,0.5231791070402974,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.28,0.5248411075522691,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.29,0.5265031080642408,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.3,0.5281651085762126,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.31,0.5298271090881843,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.32,0.531489109600156,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.33,0.5331511101121278,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.34,0.5348131106240995,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.35000000000000003,0.5364751111360713,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.36,0.5381371116480429,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.37,0.5397991121600146,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.38,0.5414611126719864,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.39,0.5431231131839581,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.4,0.5447851136959299,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.41000000000000003,0.5464471142079016,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.42,0.5481091147198733,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.43,0.5497711152318451,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.44,0.5514331157438167,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.45,0.5530951162557884,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.46,0.5547571167677602,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.47000000000000003,0.5564191172797319,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.48,0.5580811177917037,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.49,0.5597431183036754,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.5,0.5614051188156471,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.51,0.5630671193276189,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.52,0.5647291198395905,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.53,0.5663911203515622,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.54,0.568053120863534,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.55,0.5697151213755057,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.56,0.5713771218874775,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.5700000000000001,0.5730391223994492,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.58,0.574701122911421,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.59,0.5763631234233927,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.6,0.5780251239353643,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.61,0.579687124447336,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.62,0.5813491249593078,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.63,0.5830111254712795,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.64,0.5846731259832513,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.65,0.586335126495223,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.66,0.5879971270071948,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.67,0.5896591275191665,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.68,0.5913211280311382,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.6900000000000001,0.59298312854311,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.7000000000000001,0.5946451290550816,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.71,0.5963071295670533,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.72,0.5979691300790251,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.73,0.5996311305909968,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.74,0.6012931311029686,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.75,0.6029551316149403,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.76,0.604617132126912,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.77,0.6062791326388837,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.78,0.6079411331508554,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.79,0.6096031336628271,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.8,0.6112651341747989,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.81,0.6129271346867706,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.8200000000000001,0.6145891351987424,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.8300000000000001,0.6162511357107141,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.84,0.6179131362226858,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.85,0.6195751367346576,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.86,0.6212371372466292,1,-1,FALSE,#008DFFFF,1,1,NA,1
