x,y,PANEL,group,flipped_aes,colour,size,linetype,alpha,repetition
0,0.6657229817689805,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.03,0.6636829439036128,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.06,0.6616429060382452,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.09,0.6596028681728775,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.12,0.6575628303075098,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.15,0.6555227924421423,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.18,0.6534827545767746,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.21,0.651442716711407,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.24,0.6494026788460393,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.27,0.6473626409806716,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.3,0.645322603115304,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.32999999999999996,0.6432825652499363,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.36,0.6412425273845687,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.39,0.639202489519201,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.42,0.6371624516538333,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.44999999999999996,0.6351224137884657,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.48,0.633082375923098,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.51,0.6310423380577304,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.54,0.6290023001923627,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.57,0.626962262326995,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.6,0.6249222244616275,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.63,0.6228821865962597,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.6599999999999999,0.6208421487308922,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.69,0.6188021108655245,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.72,0.6167620730001568,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.75,0.6147220351347892,1,-1,FALSE,#008DFFFF,1,1,NA,1
0.78,0.6126819972694215,1,-1,FALSE,#008DFFFF,1,1,NA,1
