Network_id,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
15_2_peralta_2006_mendoza_site_2,1,2,13,0.0663265306122449,1,1,0.5416666666666666
15_2_peralta_2006_mendoza_site_2,2,3,9,0.04591836734693878,0.2647058823529412,1,0.25
15_2_peralta_2006_mendoza_site_2,3,3,25,0.12755102040816327,0.7352941176470589,1,0.4166666666666667
15_2_peralta_2006_mendoza_site_2,4,4,30,0.15306122448979592,0.46153846153846156,1,0.375
15_2_peralta_2006_mendoza_site_2,5,4,23,0.11734693877551021,0.35384615384615387,0.696969696969697,0.25555555555555554
15_2_peralta_2006_mendoza_site_2,6,4,10,0.05102040816326531,0.15384615384615385,0.30303030303030304,0.1111111111111111
15_2_peralta_2006_mendoza_site_2,7,4,2,0.01020408163265306,0.03076923076923077,1,0.08333333333333333
15_2_peralta_2006_mendoza_site_2,8,5,20,0.10204081632653061,0.23809523809523808,1,0.3333333333333333
15_2_peralta_2006_mendoza_site_2,9,5,32,0.16326530612244897,0.38095238095238093,0.6153846153846154,0.26666666666666666
15_2_peralta_2006_mendoza_site_2,10,5,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,11,5,10,0.05102040816326531,0.11904761904761904,0.19230769230769232,0.08333333333333333
15_2_peralta_2006_mendoza_site_2,12,5,10,0.05102040816326531,0.11904761904761904,0.19230769230769232,0.08333333333333333
15_2_peralta_2006_mendoza_site_2,13,5,2,0.01020408163265306,0.023809523809523808,0.16666666666666666,0.03333333333333333
15_2_peralta_2006_mendoza_site_2,14,5,2,0.01020408163265306,0.023809523809523808,0.16666666666666666,0.03333333333333333
15_2_peralta_2006_mendoza_site_2,15,5,8,0.04081632653061224,0.09523809523809523,0.6666666666666666,0.13333333333333333
15_2_peralta_2006_mendoza_site_2,16,5,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,17,5,0,0,0,NA,0
17_3_arroyo_correa_new_zealand_2019_3,1,2,18,0.05421686746987952,1,1,0.72
17_3_arroyo_correa_new_zealand_2019_3,2,3,26,0.0783132530120482,0.4727272727272727,1,0.52
17_3_arroyo_correa_new_zealand_2019_3,3,3,29,0.08734939759036145,0.5272727272727272,1,0.58
17_3_arroyo_correa_new_zealand_2019_3,4,4,25,0.07530120481927711,0.22522522522522523,1,0.5
17_3_arroyo_correa_new_zealand_2019_3,5,4,36,0.10843373493975904,0.32432432432432434,0.5373134328358209,0.36
17_3_arroyo_correa_new_zealand_2019_3,6,4,31,0.09337349397590361,0.27927927927927926,0.4626865671641791,0.31
17_3_arroyo_correa_new_zealand_2019_3,7,4,19,0.0572289156626506,0.17117117117117117,1,0.38
17_3_arroyo_correa_new_zealand_2019_3,8,5,11,0.03313253012048193,0.07432432432432433,1,0.44
17_3_arroyo_correa_new_zealand_2019_3,9,5,22,0.06626506024096386,0.14864864864864866,0.3142857142857143,0.22
17_3_arroyo_correa_new_zealand_2019_3,10,5,0,0,0,0,0
17_3_arroyo_correa_new_zealand_2019_3,11,5,27,0.08132530120481928,0.18243243243243243,0.38571428571428573,0.27
17_3_arroyo_correa_new_zealand_2019_3,12,5,21,0.06325301204819277,0.14189189189189189,0.3,0.21
17_3_arroyo_correa_new_zealand_2019_3,13,5,13,0.0391566265060241,0.08783783783783784,0.21666666666666667,0.13
17_3_arroyo_correa_new_zealand_2019_3,14,5,0,0,0,0,0
17_3_arroyo_correa_new_zealand_2019_3,15,5,32,0.0963855421686747,0.21621621621621623,0.5333333333333333,0.32
17_3_arroyo_correa_new_zealand_2019_3,16,5,15,0.045180722891566265,0.10135135135135136,0.25,0.15
17_3_arroyo_correa_new_zealand_2019_3,17,5,7,0.02108433734939759,0.0472972972972973,1,0.28
2_1_dicks_2002_england_shelfanger,1,2,20,0.05154639175257732,1,1,0.8
2_1_dicks_2002_england_shelfanger,2,3,36,0.09278350515463918,0.5373134328358209,1,0.72
2_1_dicks_2002_england_shelfanger,3,3,31,0.07989690721649484,0.4626865671641791,1,0.62
2_1_dicks_2002_england_shelfanger,4,4,23,0.059278350515463915,0.17424242424242425,1,0.46
2_1_dicks_2002_england_shelfanger,5,4,27,0.06958762886597938,0.20454545454545456,0.36,0.27
2_1_dicks_2002_england_shelfanger,6,4,48,0.12371134020618557,0.36363636363636365,0.64,0.48
2_1_dicks_2002_england_shelfanger,7,4,34,0.08762886597938144,0.25757575757575757,1,0.68
2_1_dicks_2002_england_shelfanger,8,5,8,0.020618556701030927,0.047337278106508875,1,0.32
2_1_dicks_2002_england_shelfanger,9,5,3,0.007731958762886598,0.01775147928994083,0.046875,0.03
2_1_dicks_2002_england_shelfanger,10,5,0,0,0,0,0
2_1_dicks_2002_england_shelfanger,11,5,33,0.08505154639175258,0.1952662721893491,0.515625,0.33
2_1_dicks_2002_england_shelfanger,12,5,28,0.07216494845360824,0.16568047337278108,0.4375,0.28
2_1_dicks_2002_england_shelfanger,13,5,21,0.05412371134020619,0.1242603550295858,0.25925925925925924,0.21
2_1_dicks_2002_england_shelfanger,14,5,0,0,0,0,0
2_1_dicks_2002_england_shelfanger,15,5,18,0.04639175257731959,0.10650887573964497,0.2222222222222222,0.18
2_1_dicks_2002_england_shelfanger,16,5,42,0.10824742268041238,0.2485207100591716,0.5185185185185185,0.42
2_1_dicks_2002_england_shelfanger,17,5,16,0.041237113402061855,0.09467455621301775,1,0.64
17_1_arroyo_correa_new_zealand_2019_1,1,2,19,0.045563549160671464,1,1,0.6333333333333333
17_1_arroyo_correa_new_zealand_2019_1,2,3,26,0.06235011990407674,0.43333333333333335,1,0.43333333333333335
17_1_arroyo_correa_new_zealand_2019_1,3,3,34,0.0815347721822542,0.5666666666666667,1,0.4533333333333333
17_1_arroyo_correa_new_zealand_2019_1,4,4,35,0.08393285371702638,0.26119402985074625,1,0.35
17_1_arroyo_correa_new_zealand_2019_1,5,4,49,0.11750599520383694,0.3656716417910448,0.6125,0.32666666666666666
17_1_arroyo_correa_new_zealand_2019_1,6,4,31,0.07434052757793765,0.23134328358208955,0.3875,0.20666666666666667
17_1_arroyo_correa_new_zealand_2019_1,7,4,19,0.045563549160671464,0.1417910447761194,1,0.31666666666666665
17_1_arroyo_correa_new_zealand_2019_1,8,5,21,0.050359712230215826,0.10294117647058823,1,0.28
17_1_arroyo_correa_new_zealand_2019_1,9,5,36,0.08633093525179857,0.17647058823529413,0.34951456310679613,0.18
17_1_arroyo_correa_new_zealand_2019_1,10,5,0,0,0,0,0
17_1_arroyo_correa_new_zealand_2019_1,11,5,46,0.11031175059952038,0.22549019607843138,0.44660194174757284,0.23
17_1_arroyo_correa_new_zealand_2019_1,12,5,21,0.050359712230215826,0.10294117647058823,0.20388349514563106,0.105
17_1_arroyo_correa_new_zealand_2019_1,13,5,26,0.06235011990407674,0.12745098039215685,0.3561643835616438,0.17333333333333334
17_1_arroyo_correa_new_zealand_2019_1,14,5,0,0,0,0,0
17_1_arroyo_correa_new_zealand_2019_1,15,5,32,0.07673860911270983,0.1568627450980392,0.4383561643835616,0.21333333333333335
17_1_arroyo_correa_new_zealand_2019_1,16,5,15,0.03597122302158273,0.07352941176470588,0.2054794520547945,0.1
17_1_arroyo_correa_new_zealand_2019_1,17,5,7,0.016786570743405275,0.03431372549019608,1,0.23333333333333334
17_2_arroyo_correa_new_zealand_2019_2,1,2,22,0.04044117647058824,1,1,0.7333333333333333
17_2_arroyo_correa_new_zealand_2019_2,2,3,32,0.058823529411764705,0.43243243243243246,1,0.5333333333333333
17_2_arroyo_correa_new_zealand_2019_2,3,3,42,0.07720588235294118,0.5675675675675675,1,0.56
17_2_arroyo_correa_new_zealand_2019_2,4,4,44,0.08088235294117647,0.25882352941176473,1,0.44
17_2_arroyo_correa_new_zealand_2019_2,5,4,57,0.10477941176470588,0.3352941176470588,0.5533980582524272,0.38
17_2_arroyo_correa_new_zealand_2019_2,6,4,46,0.08455882352941177,0.27058823529411763,0.44660194174757284,0.30666666666666664
17_2_arroyo_correa_new_zealand_2019_2,7,4,23,0.042279411764705885,0.13529411764705881,1,0.38333333333333336
17_2_arroyo_correa_new_zealand_2019_2,8,5,26,0.04779411764705882,0.09352517985611511,1,0.3466666666666667
17_2_arroyo_correa_new_zealand_2019_2,9,5,31,0.05698529411764706,0.11151079136690648,0.2198581560283688,0.155
17_2_arroyo_correa_new_zealand_2019_2,10,5,11,0.02022058823529412,0.039568345323741004,0.07801418439716312,0.055
17_2_arroyo_correa_new_zealand_2019_2,11,5,63,0.11580882352941177,0.22661870503597123,0.44680851063829785,0.315
17_2_arroyo_correa_new_zealand_2019_2,12,5,36,0.0661764705882353,0.12949640287769784,0.2553191489361702,0.18
17_2_arroyo_correa_new_zealand_2019_2,13,5,22,0.04044117647058824,0.07913669064748201,0.21359223300970873,0.14666666666666667
17_2_arroyo_correa_new_zealand_2019_2,14,5,14,0.025735294117647058,0.050359712230215826,0.13592233009708737,0.09333333333333334
17_2_arroyo_correa_new_zealand_2019_2,15,5,42,0.07720588235294118,0.1510791366906475,0.4077669902912621,0.28
17_2_arroyo_correa_new_zealand_2019_2,16,5,25,0.04595588235294118,0.08992805755395683,0.24271844660194175,0.16666666666666666
17_2_arroyo_correa_new_zealand_2019_2,17,5,8,0.014705882352941176,0.02877697841726619,1,0.26666666666666666
6_1_inouye_1988_australia,1,2,10,0.10752688172043011,1,1,0.6666666666666666
6_1_inouye_1988_australia,2,3,16,0.17204301075268819,0.7272727272727273,1,0.5333333333333333
6_1_inouye_1988_australia,3,3,6,0.06451612903225806,0.2727272727272727,1,0.4
6_1_inouye_1988_australia,4,4,1,0.010752688172043012,0.03125,1,0.2
6_1_inouye_1988_australia,5,4,11,0.11827956989247312,0.34375,0.6470588235294118,0.36666666666666664
6_1_inouye_1988_australia,6,4,6,0.06451612903225806,0.1875,0.35294117647058826,0.2
6_1_inouye_1988_australia,7,4,14,0.15053763440860216,0.4375,1,0.4666666666666667
6_1_inouye_1988_australia,8,5,0,0,0,NA,NA
6_1_inouye_1988_australia,9,5,1,0.010752688172043012,0.034482758620689655,0.25,0.1
6_1_inouye_1988_australia,10,5,0,0,0,0,0
6_1_inouye_1988_australia,11,5,3,0.03225806451612903,0.10344827586206896,0.75,0.3
6_1_inouye_1988_australia,12,5,0,0,0,0,0
6_1_inouye_1988_australia,13,5,9,0.0967741935483871,0.3103448275862069,0.47368421052631576,0.3
6_1_inouye_1988_australia,14,5,0,0,0,0,0
6_1_inouye_1988_australia,15,5,6,0.06451612903225806,0.20689655172413793,0.3157894736842105,0.2
6_1_inouye_1988_australia,16,5,4,0.043010752688172046,0.13793103448275862,0.21052631578947367,0.13333333333333333
6_1_inouye_1988_australia,17,5,6,0.06451612903225806,0.20689655172413793,1,0.4
5_1_fang_2008_china,1,2,25,0.03263707571801567,1,1,0.7142857142857143
5_1_fang_2008_china,2,3,43,0.05613577023498695,0.4479166666666667,1,0.6142857142857143
5_1_fang_2008_china,3,3,53,0.06919060052219321,0.5520833333333334,1,0.5047619047619047
5_1_fang_2008_china,4,4,63,0.08224543080939947,0.2669491525423729,1,0.36
5_1_fang_2008_china,5,4,60,0.0783289817232376,0.2542372881355932,0.45454545454545453,0.2857142857142857
5_1_fang_2008_china,6,4,72,0.09399477806788512,0.3050847457627119,0.5454545454545454,0.34285714285714286
5_1_fang_2008_china,7,4,41,0.05352480417754569,0.17372881355932204,1,0.5857142857142857
5_1_fang_2008_china,8,5,47,0.06135770234986945,0.11491442542787286,1,0.26857142857142857
5_1_fang_2008_china,9,5,34,0.044386422976501305,0.08312958435207823,0.17708333333333334,0.09714285714285714
5_1_fang_2008_china,10,5,0,0,0,0,0
5_1_fang_2008_china,11,5,100,0.13054830287206268,0.24449877750611246,0.5208333333333334,0.2857142857142857
5_1_fang_2008_china,12,5,58,0.07571801566579635,0.14180929095354522,0.3020833333333333,0.1657142857142857
5_1_fang_2008_china,13,5,62,0.08093994778067885,0.15158924205378974,0.41333333333333333,0.29523809523809524
5_1_fang_2008_china,14,5,0,0,0,0,0
5_1_fang_2008_china,15,5,24,0.031331592689295036,0.05867970660146699,0.16,0.11428571428571428
5_1_fang_2008_china,16,5,64,0.0835509138381201,0.15647921760391198,0.4266666666666667,0.3047619047619048
5_1_fang_2008_china,17,5,20,0.02610966057441253,0.0488997555012225,1,0.5714285714285714
10_1_souza_2017_brazil_chaco,1,2,18,0.04186046511627907,1,1,0.5142857142857142
10_1_souza_2017_brazil_chaco,2,3,19,0.044186046511627906,0.3392857142857143,1,0.2714285714285714
10_1_souza_2017_brazil_chaco,3,3,37,0.08604651162790698,0.6607142857142857,1,0.3523809523809524
10_1_souza_2017_brazil_chaco,4,4,49,0.11395348837209303,0.3684210526315789,1,0.28
10_1_souza_2017_brazil_chaco,5,4,52,0.12093023255813953,0.39097744360902253,0.7027027027027027,0.24761904761904763
10_1_souza_2017_brazil_chaco,6,4,22,0.05116279069767442,0.16541353383458646,0.2972972972972973,0.10476190476190476
10_1_souza_2017_brazil_chaco,7,4,10,0.023255813953488372,0.07518796992481203,1,0.14285714285714285
10_1_souza_2017_brazil_chaco,8,5,41,0.09534883720930233,0.18385650224215247,1,0.2342857142857143
10_1_souza_2017_brazil_chaco,9,5,65,0.1511627906976744,0.2914798206278027,0.5118110236220472,0.18571428571428572
10_1_souza_2017_brazil_chaco,10,5,0,0,0,0,0
10_1_souza_2017_brazil_chaco,11,5,44,0.10232558139534884,0.19730941704035873,0.3464566929133858,0.12571428571428572
10_1_souza_2017_brazil_chaco,12,5,18,0.04186046511627907,0.08071748878923767,0.14173228346456693,0.05142857142857143
10_1_souza_2017_brazil_chaco,13,5,20,0.046511627906976744,0.08968609865470852,0.37735849056603776,0.09523809523809523
10_1_souza_2017_brazil_chaco,14,5,3,0.0069767441860465115,0.013452914798206279,0.05660377358490566,0.014285714285714285
10_1_souza_2017_brazil_chaco,15,5,24,0.05581395348837209,0.10762331838565023,0.4528301886792453,0.11428571428571428
10_1_souza_2017_brazil_chaco,16,5,6,0.013953488372093023,0.026905829596412557,0.11320754716981132,0.02857142857142857
10_1_souza_2017_brazil_chaco,17,5,2,0.004651162790697674,0.008968609865470852,1,0.05714285714285714
14_2_kaiser-bunbury_2010_mauritius_restored,1,2,29,0.020336605890603085,1,1,0.8055555555555556
14_2_kaiser-bunbury_2010_mauritius_restored,2,3,34,0.023842917251051893,0.24817518248175183,1,0.6296296296296297
14_2_kaiser-bunbury_2010_mauritius_restored,3,3,103,0.07223001402524544,0.7518248175182481,1,0.7152777777777778
14_2_kaiser-bunbury_2010_mauritius_restored,4,4,225,0.15778401122019636,0.5487804878048781,1,0.6696428571428571
14_2_kaiser-bunbury_2010_mauritius_restored,5,4,67,0.046984572230014024,0.16341463414634147,0.39880952380952384,0.3101851851851852
14_2_kaiser-bunbury_2010_mauritius_restored,6,4,101,0.07082748948106592,0.24634146341463414,0.6011904761904762,0.4675925925925926
14_2_kaiser-bunbury_2010_mauritius_restored,7,4,17,0.011921458625525946,0.041463414634146344,1,0.4722222222222222
14_2_kaiser-bunbury_2010_mauritius_restored,8,5,322,0.22580645161290322,0.3788235294117647,1,0.6388888888888888
14_2_kaiser-bunbury_2010_mauritius_restored,9,5,120,0.08415147265077139,0.1411764705882353,0.28169014084507044,0.23809523809523808
14_2_kaiser-bunbury_2010_mauritius_restored,10,5,0,0,0,0,0
14_2_kaiser-bunbury_2010_mauritius_restored,11,5,107,0.07503506311360449,0.12588235294117647,0.2511737089201878,0.2123015873015873
14_2_kaiser-bunbury_2010_mauritius_restored,12,5,199,0.13955119214586256,0.23411764705882354,0.4671361502347418,0.3948412698412698
14_2_kaiser-bunbury_2010_mauritius_restored,13,5,6,0.004207573632538569,0.007058823529411765,0.06060606060606061,0.041666666666666664
14_2_kaiser-bunbury_2010_mauritius_restored,14,5,0,0,0,0,0
14_2_kaiser-bunbury_2010_mauritius_restored,15,5,56,0.03927068723702665,0.06588235294117648,0.5656565656565656,0.3888888888888889
14_2_kaiser-bunbury_2010_mauritius_restored,16,5,37,0.025946704067321177,0.04352941176470588,0.37373737373737376,0.2569444444444444
14_2_kaiser-bunbury_2010_mauritius_restored,17,5,3,0.0021037868162692847,0.0035294117647058825,1,0.3333333333333333
1_2_bartomeus_spain_2008_fraop_1_2,1,2,13,0.06701030927835051,1,1,0.52
1_2_bartomeus_spain_2008_fraop_1_2,2,3,15,0.07731958762886598,0.5,1,0.3
1_2_bartomeus_spain_2008_fraop_1_2,3,3,15,0.07731958762886598,0.5,1,0.3
1_2_bartomeus_spain_2008_fraop_1_2,4,4,11,0.05670103092783505,0.18032786885245902,1,0.22
1_2_bartomeus_spain_2008_fraop_1_2,5,4,33,0.17010309278350516,0.5409836065573771,0.8461538461538461,0.33
1_2_bartomeus_spain_2008_fraop_1_2,6,4,6,0.030927835051546393,0.09836065573770492,0.15384615384615385,0.06
1_2_bartomeus_spain_2008_fraop_1_2,7,4,11,0.05670103092783505,0.18032786885245902,1,0.22
1_2_bartomeus_spain_2008_fraop_1_2,8,5,5,0.02577319587628866,0.05555555555555555,1,0.2
1_2_bartomeus_spain_2008_fraop_1_2,9,5,23,0.11855670103092783,0.25555555555555554,0.575,0.23
1_2_bartomeus_spain_2008_fraop_1_2,10,5,3,0.015463917525773196,0.03333333333333333,0.075,0.03
