Network_id,Node_id,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
15_2_peralta_2006_mendoza_site_2,Bee,0,3,0,3,0,9,0,16,0,0,2,10,0,4,0,1,0,14,0,0,7,16,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,2,0,0,1,4,0,0,0,0
15_2_peralta_2006_mendoza_site_2,Coleoptera,0,1,0,0,0,5,0,10,0,0,7,0,0,0,0,-0,0,10,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,Lepidoptera,0,2,0,1,0,9,0,16,0,0,4,1,0,4,0,0,0,14,0,0,14,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0
15_2_peralta_2006_mendoza_site_2,Non-bee-Hymenoptera,0,2,0,1,0,9,0,16,0,0,4,1,0,4,0,0,0,14,0,0,14,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0
15_2_peralta_2006_mendoza_site_2,Non-syrphids-diptera,0,2,0,1,0,9,0,16,0,0,4,1,0,4,0,0,0,14,0,0,14,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0
15_2_peralta_2006_mendoza_site_2,Syrphids,0,3,0,3,0,9,0,16,0,0,2,10,0,4,0,1,0,14,0,0,7,16,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,2,0,0,1,4,0,0,0,0
15_2_peralta_2006_mendoza_site_2,1,1,0,2,0,0,0,-0,0,9,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,2,5,0,7,0,10,0,10,0,5,8,0,0,10,0,2,0,5,0,0,12,0,0,0,0,0,10,0,0,0,10,0,2,0,0,0,0,1,0,0,8,0,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,3,6,0,7,0,15,0,20,0,0,15,0,0,10,0,2,0,15,0,0,20,0,0,0,0,0,0,10,0,0,10,0,0,2,0,0,0,1,0,0,8,0,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,4,1,0,2,0,0,0,-0,0,9,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0
17_3_arroyo_correa_new_zealand_2019_3,Bee,0,5,0,10,0,13,0,16,0,0,0,20,0,16,0,10,0,9,0,0,0,18,0,0,0,0,0,0,16,0,15,0,0,0,9,0,0,0,0,0,0,21,0,9,0,5
17_3_arroyo_correa_new_zealand_2019_3,Coleoptera,0,4,0,6,0,13,0,16,0,0,4,7,0,16,0,4,0,9,0,0,9,2,0,0,0,0,0,0,16,0,15,0,0,0,2,0,0,0,0,0,6,5,0,9,0,1
17_3_arroyo_correa_new_zealand_2019_3,Lepidoptera,0,4,0,6,0,13,0,16,0,0,4,7,0,16,0,4,0,9,0,0,9,2,0,0,0,0,0,0,16,0,15,0,0,0,2,0,0,0,0,0,6,5,0,9,0,1
17_3_arroyo_correa_new_zealand_2019_3,Non-syrphids-diptera,0,2,0,1,0,8,0,12,0,0,16,0,0,4,0,0,0,8,0,0,12,0,0,0,0,0,0,18,0,0,6,0,0,10,0,0,0,0,0,0,8,0,0,0,0,-0
