motif,motif_functional_ID,motif_expected_probability,counts_observed,motif_observed_probability,round_motif_observed_probability,percentil_observed,lower_CI,upper_CI
8,8_2_Bee_Bee_Bee_Bee,0.005266049293728686,50871,0.021446766100357256,0.0214468,1,6.161e-4,6.473049999999999e-4
8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,0.0038858351737573915,38545,0.016250232929139793,0.0162502,1,4.520975e-4,4.794e-4
9,9_2_2_Bee_Bee_Bee,0.008050399380847102,28000,0.011804553690904508,0.0118046,1,9.4609e-4,9.859e-4
8,8_4_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,0.006196293023640692,22961,0.009680155617744943,0.0096802,1,7.255975e-4,7.593074999999999e-4
9,9_3_2_Bee_Bee_Bee,0.006234914808388579,22161,0.00934288265514767,0.0093429,1,7.309975e-4,7.64005e-4
8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,0.002436894920882575,22103,0.009318430365359369,0.0093184,1,2.819e-4,3.0300499999999996e-4
8,8_4_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,4.88373594543134e-4,21090,0.008891358476470573,0.0088914,1,5.38e-5,6.33e-5
8,8_2_Bee_Non-syrphids-diptera_Syrphids_Syrphids,1.909588175175752e-4,15987,0.006739978566303227,0.00674,1,2e-5,2.6e-5
8,8_2_Bee_Lepidoptera_Non-syrphids-diptera_Syrphids,6.259054875749074e-5,15145,0.006384998773169599,0.006385,1,5.8e-6,9.202499999999997e-6
8,8_4_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,3.0627010123143044e-4,14942,0.006299415758910541,0.0062994,1,3.33e-5,4.05e-5
8,8_2_Lepidoptera_Non-syrphids-diptera_Syrphids_Syrphids,1.505081243978504e-5,14543,0.006131200868815152,0.0061312,1,1e-6,2.7e-6
11,11_2_2_Bee_Bee_Bee,0.011888418532827074,13997,0.0059010120718425135,0.005901,1,0.0014022975,0.0014479
8,8_4_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,0.0013933447617266634,13859,0.0058428324857944846,0.0058428,1,1.587e-4,1.7500249999999998e-4
8,8_4_Bee_Bee_Bee_Bee,0.0157553150551576,13830,0.0058306063409003335,0.0058306,1,0.001861595,0.0019175124999999999
8,8_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,4.980133214085005e-4,13430,0.005661969859601697,0.005662,1,5.5e-5,6.49e-5
8,8_3_Bee_Bee_Non-syrphids-diptera_Syrphids,4.4006772059245163e-4,12472,0.005258085486891465,0.0052581,1,4.81e-5,5.73e-5
8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,8.737979407414871e-4,12451,0.005249232071623287,0.0052492,1,9.839500000000001e-5,1.108e-4
8,8_2_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_Syrphids,1.1975458342880679e-4,11332,0.004777471515190352,0.0047775,1,1.2e-5,1.6702499999999995e-5
8,8_2_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,3.92519454742846e-5,11221,0.0047306748916299815,0.0047307,1,3.4e-6,6.102499999999998e-6
8,8_3_Bee_Non-syrphids-diptera_Syrphids_Syrphids,1.058207166245374e-4,11184,0.004715076017109857,0.0047151,1,1.04975e-5,1.5e-5
8,8_4_Bee_Bee_Lepidoptera_Non-syrphids-diptera,7.78753025150027e-4,10582,0.004461278112755411,0.0044613,1,8.73975e-5,9.92025e-5
10,10_2_2_Bee_Bee_Bee,0.008675128787647786,10535,0.0044414633262028205,0.0044415,1,0.0010197975,0.0010614
8,8_3_Bee_Bee_Syrphids_Syrphids,1.6874008774367473e-4,10163,0.00428463139859509,0.0042846,1,1.75e-5,2.29025e-5
8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,0.001489989239143769,9721,0.004098288086760097,0.0040983,1,1.70395e-4,1.869e-4
8,8_2_Non-syrphids-diptera_Syrphids_Syrphids_Syrphids,4.591883923746868e-5,9596,0.004045589186354274,0.0040456,1,4.097499999999999e-6,7e-6
13,13_2_4_4_Non-syrphids-diptera_Bee,0.0036362520175006485,9531,0.004018185758143245,0.0040182,1,4.223e-4,4.4920750000000003e-4
9,9_5_2_Bee_Bee_Bee,0.004901220316626619,9481,0.003997106197980916,0.0039971,1,5.734e-4,6.026075e-4
8,8_2_Bee_Lepidoptera_Syrphids_Syrphids,2.399979411133591e-5,9218,0.0038862277115270624,0.0038862,1,1.8e-6,4e-6
9,9_2_4_Bee_Bee_Bee,0.01305933302445445,8985,0.003787996961170607,0.003788,1,0.001540885,0.0015897
4,4_2_Bee_Bee_Bee,0.015440390688736953,8933,0.003766074218601784,0.0037661,1,0.001825995,0.001878305
9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,0.007723462616922114,8885,0.003745837840845948,0.0037458,1,9.076975e-4,9.453e-4
8,8_3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,5.9407143824443636e-5,8640,0.0036425479960505336,0.0036425,1,5.4e-6,8.9e-6
10,10_2_3_Bee_Bee_Bee,0.005583269837395367,8530,0.003596172963693409,0.0035962,1,6.531975000000001e-4,6.852074999999999e-4
13,13_2_3_2_Bee_Bee,0.0060530138981962165,8434,0.0035557002081817364,0.0035557,1,7.104975e-4,7.434e-4
8,8_2_Bee_Bee_Non-syrphids-diptera_Syrphids,7.941243853994417e-4,8358,0.0035236592767349953,0.0035237,1,8.9e-5,1.014e-4
10,10_2_5_Bee_Bee_Bee,0.004582698160106623,8286,0.003493304710101241,0.0034933,1,5.349949999999999e-4,5.64e-4
8,8_3_Bee_Bee_Bee_Syrphids,7.017252212475635e-4,7962,0.0033567091602493457,0.0033567,1,7.85e-5,9e-5
