PANEL,ymin,ymax,x,repetition
1,0.37661967388730655,0.5733214802269248,0,1
2,0.46688754565434964,0.6592510589111223,0,1
3,0.4504207708850344,0.6404116448751688,0,1
4,0.4822318880902458,0.6817861697548879,0,1
5,0.3966805649011136,0.5888029013377085,0,1
1,0.3774048833286094,0.5740611593559403,0.03,1
2,0.4674739387996916,0.6599294624470368,0.03,1
3,0.45145262790638874,0.6416017409033371,0.03,1
4,0.482711674733348,0.6821446049073336,0.03,1
5,0.3976402783809769,0.589846457687317,0.03,1
1,0.37817293350175935,0.5748179977531085,0.06,1
2,0.46804496841250354,0.6606232295154814,0.06,1
3,0.45246876913321277,0.642807552726036,0.06,1
4,0.4831749310008905,0.6825195704353387,0.06,1
5,0.3985825421338878,0.5909074637638781,0.06,1
1,0.3789238214720793,0.5755919983531068,0.09,1
2,0.4686006638446917,0.6613323307645497,0.09,1
3,0.4534692414928776,0.6440290334158938,0.09,1
4,0.4836216349226304,0.6829110883091465,0.09,1
5,0.39950738845468614,0.5919858872725514,0.09,1
1,0.37965755328855755,0.5763831551069467,0.12,1
2,0.4691410616772981,0.6620567296131997,0.12,1
3,0.4544540994308373,0.6452661285274567,0.12,1
4,0.4840517727463141,0.6833191722810106,0.12,1
5,0.4004148589943358,0.5930816865623737,0.12,1
1,0.3803741439680287,0.5771914529977938,0.15,1
2,0.4696662056337834,0.6627963823379708,0.15,1
3,0.45542340477804527,0.6465187762297717,0.15,1
4,0.4844653389719055,0.6837438278509668,0.15,1
5,0.40130500464756785,0.5941948107386135,0.15,1
1,0.3810736174559542,0.5780168680801865,0.18,1
2,0.4701761464769833,0.6635512381760276,0.18,1
3,0.4563772266016365,0.6477869074557033,0.18,1
4,0.4848623363652936,0.6841850522531264,0.18,1
5,0.4021778854164031,0.5953251997992502,0.18,1
1,0.3817560065640432,0.5788593675424158,0.21,1
2,0.4706709418902991,0.664321239443968,0.21,1
3,0.4573156410397048,0.6490704460671577,0.21,1
4,0.48524277595139736,0.6846428344625702,0.21,1
5,0.403033570250397,0.596472784794728,0.21,1
1,0.38242135288508927,0.5797189097916879,0.24,1
2,0.4711506563437674,0.6651063216717562,0.24,1
3,0.45823873112107827,0.6503693090353069,0.24,1
4,0.4856066769867113,0.6851171552228039,0.24,1
5,0.40387213686459206,0.5976374880100048,0.24,1
1,0.3830697066855394,0.5805954445615561,0.27,1
2,0.4716153609457184,0.6659064137510617,0.27,1
3,0.45914658657106344,0.6516834066348444,0.27,1
4,0.4859540669114475,0.6856079870936154,0.27,1
5,0.40469367153627867,0.5988192231677901,0.27,1
1,0.38370112677643664,0.5814889130409772,0.3,1
2,0.47206513328080946,0.6667214380972273,0.3,1
3,0.4600393036041896,0.653012642651241,0.3,1
4,0.48628498128155406,0.6861152945190566,0.3,1
