motif,motif_functional_ID,motif_expected_probability,counts_observed,motif_observed_probability,round_motif_observed_probability,percentil_observed,lower_CI,upper_CI
4,4_4_Bee_Bee_Bee,0.02949773267262083,3003,0.0012660383833495083,0.001266,0,0.0034997824999999996,0.0035749225000000005
7,7_2_2_4_Bee,0.013793345722732709,2986,0.0012588713328943164,0.0012589,0,0.0016285925,0.0016788075000000002
4,4_4_Bee_Bee_Non-syrphids-diptera,0.01792448041388932,2882,0.001215025847756671,0.001215,0,0.0021207925,0.002177115
15,15_2_2_2_Bee_Bee,0.009494769292731818,2576,0.0010860189395632146,0.001086,0,0.0011168900000000002,0.0011605
11,11_3_4_Bee_Bee_Bee,0.0132541444125927,2196,9.258142823295106e-4,9.258e-4,0,0.0015635,0.0016155
15,15_3_2_2_Bee_Bee,0.008003577507009158,2176,9.173824582645789e-4,9.174e-4,0,9.384924999999999e-4,9.777025e-4
12,12_2_4_Bee_Bee_Bee,0.013847653082310457,1985,8.368585384444802e-4,8.369e-4,0,0.0016361899999999998,0.0016877
7,7_2_4_4_Bee,0.009512400885448151,1976,8.330642176152609e-4,8.331e-4,0,0.001119895,0.001162405
12,12_2_2_Bee_Bee_Bee,0.011477834248333204,1851,7.803653172094372e-4,7.804e-4,0,0.0013538875,0.0013999025
3,3_2_Bee_Bee,0.04371134224563464,1796,7.571778010308748e-4,7.572e-4,0,0.0051966799999999995,0.0052891025
11,11_2_4_Non-syrphids-diptera_Bee_Bee,0.015626416939824576,1779,7.500107505756828e-4,7.5e-4,0,0.0018456924999999999,0.0019003025
9,9_1_4_Bee_Bee_Bee,0.006580822256355862,1759,7.41578926510751e-4,7.416e-4,0,7.701949999999999e-4,8.055e-4
15,15_3_2_4_Bee_Bee,0.006954371662079011,1716,7.234505047711477e-4,7.235e-4,0,8.166e-4,8.521e-4
11,11_5_4_Bee_Bee_Bee,0.009726369141436033,1709,7.204993663484215e-4,7.205e-4,0,0.0011456,0.001187605
7,7_2_3_4_Bee,0.010662540497992831,1677,7.070084478445306e-4,7.07e-4,0,0.0012567975,0.0013010025
17,17_2_2_2_2_Bee,0.0069827354536904085,1609,6.783402460237626e-4,6.783e-4,0,8.189975e-4,8.563025e-4
4,4_2_Bee_Bee_Non-syrphids-diptera,0.009382449273463931,1608,6.77918654820516e-4,6.779e-4,0,0.0011035,0.0011464024999999999
7,7_2_2_3_Bee,0.015461092225038704,1572,6.627413715036387e-4,6.627e-4,0,0.0018259,0.0018816075
4,4_3_Bee_Bee_Non-syrphids-diptera,0.00583348554699031,1532,6.458777233737752e-4,6.459e-4,0,6.840975e-4,7.159e-4
16,16_2_2_4_Bee_Bee,0.015803614133151112,1494,6.298572576504048e-4,6.299e-4,0,0.0018688975,0.0019219100000000002
7,7_2_2_2_Bee,0.02000087974823249,1404,5.919140493582117e-4,5.919e-4,0,0.0023683925,0.0024297075000000003
