"","Amblypsilopus (?) nr. simplex","Amblypsilopus (?) sp. indet.","Apis mellifera","Atrichopogon yamabukiensis","Ceratina tabescens","Chalicodoma disjuncta","Chalybion madecassum","Chloropidae sp2","Chrysauginae sp1","Chrysomya megacephala","Cinnyris dussumieri","Coleoptera sp2","Cossonini sp1","Cratopus aurostriatus","Cryptophagidae sp2","Cryptorhynchidius graniger","Dasyhelea tamsi","Delta alluaudi","Dermestidae sp1","Dichaetomyia fasciculifera","Forcipomyia (Euprojoannisia) sp1","Forcipomyia (Microhelea) amieuensis","Forcipomyia sp2","Geron seychellarum","Gracilodes sp1","Hapalips sp1","Hasinamelissa sp","Helina mediana","Hemipyrellia germana","Homoneura crassicaput","Lasioglossum mahense","Liosarcophaga spilargyra","Lobosciara bilotata","Lygistorrhina sp","Mabuya seychellensis","Megachile laticeps","Megachile seychellensis","Musca domestica","near Eurycratus sp1 ","Nitidulidae sp1","Nola sp1","Ornidia obesa","Parasarcophaga hirticeps","Phelsuma sp","Physiphora azurea","Polistes olivaceus","Rhiparida seychellensis","Scaptodrosophila undet sp1","Sciaridae sp1","Scolytidae sp4","Simosyrphus aegyptius","Staphylinidae sp1","Stenomorda near disparilis"
"Aphloia theiformis",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Deckenia nobilis",0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,0,16,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,2,1
"Dracaena reflexa",0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Erythroxylum sechellarum",0,1,35,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Medusagyne oppositifolia",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Memecylon elaeagni",0,0,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mimusops sechellarum",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Nephrosperma vanhoutteanum",2,0,118,3,0,0,0,1,0,1,0,1,0,9,0,0,0,0,45,1,11,3,0,15,0,5,0,1,2,1,146,0,4,3,0,0,5,10,0,3,0,0,4,8,0,2,132,1,3,0,0,0,0
"Paragenipa lancifolia",0,0,32,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",0,0,7,0,2,0,0,0,0,0,0,0,5,0,9,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0
"Psychotria pervillei",0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pyrostria bibracteata",0,0,46,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,19,0,0,0,0,7,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"Soulamea terminalioides",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium wrightii",0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"Timonius flavescens",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
