"","Andrena flavipes","Andrena nigroaenaea","Andrena nitidiuscula","Andrena sp.","Andrena tenuistriata","Anthophora dispar","Anthophora sp.","Apis mellifera","Bombus terrestris","Calliphora sp.","Cerceris sabulosa","Dasypoda argentata","Dasypoda cingulata","Dasypoda crassicornis","Empis sp.1","Eristalis arbustorum","Eucera alternans","Eucera codinai","Eucera collaris","Eucera elongatula","Eucera hispaliensis","Eucera sp.","Flavipanurgus venustus","Heliotaurus ruficollis","Hoplitis adunca","Lasioglossum sp.1","Macroglossum stellatarum","Merodon sp.","Osmia leaiana","Panurgus calcaratus","Pseudoanthidium lituratum","Rhyncomyia cuprea","Syrphidae sp.","Volucella elegans","Xylocopa cantabrita"
"Asphodelus fistulosus",0,0,0,0,0,0,0,31,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus crispus",0,1,2,0,1,0,0,13,0,0,0,1,4,0,0,3,0,3,0,3,3,0,12,2,2,0,0,0,1,4,3,0,0,0,2
"Cistus ladanifer",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Cistus monspeliensis",2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,3,1
"Cistus salvifolius",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"Echium plantagineum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0
"Lavandula pedunculata",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Lavatera cretica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Teucrium fruticans",0,0,0,1,0,4,3,89,36,0,2,0,0,1,0,0,6,0,0,1,0,9,0,0,0,0,1,0,0,0,0,1,0,0,9
