"","Andrena sp.","Anthophora bimaculata","Anthophora retusa","Apis mellifera","Arachnospila sp.1","Bombus terrestris","Ceratina sp.","Colletes acutus","Colletes sp.","Dasypoda cingulata","Dasypoda crassicornis","Dasypoda sp.","Dischistus senex","Dischistus sp.1","Episyrphus balteatus","Eristalis tenax","Helophilus trivittatus","Heriades crenulatus","Heriades truncorum","Hoplitis tridentata","Lasioglossum imminutus","Lasioglossum malachurum","Lasioglossum sp.","Malachius sp.1","Merodon sp.","Nomada agrestis","Nomada fucata","Nomada melathoracica","Osmia caerulescens","Panurgus banksianus","Panurgus sp.","Rhyncomyia cuprea","Sphecodes sp.","Syrphidae sp.","Xylocopa cantabrita"
"Anchusa azurea",4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Andryala integrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cistus salvifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Diplotaxis virgata",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
"Halimium commutatum",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11
"Lavandula pedunculata",0,5,1,41,1,0,1,0,5,4,0,4,0,1,1,0,12,0,2,2,0,4,4,0,1,1,0,0,0,0,0,3,0,0,15
"Lavandula stoechas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Linaria viscosa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,0,69,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,3
"Spartium junceum",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
