,Allograpta sp.2,Allograpta sp.4,Allograpta sp.5,Allograpta sp.7,Ancistrocerus gazella,Apis mellifera,Bombus hortorum,Bombus sp.,Bombus terrestris,Calliphora quadrimaculata,Calliphora stygia,Calliphora vicina,Campylia sp.,Chalcidoidea sp.,Chironomidae sp.,Coccinella tasmania,Dasytes sp.,Dilophus sp.,Dixidae sp.,Dolichopodidae,Helophilus hochstetteri,Heterocera sp.,Hybopygia varia,Hylaeus asperithorax,Hylaeus capitosus,Hylaeus relegatus,Lasioglossum mataroa,Lasioglossum maunga,Lasioglossum sordidum,Lasioglossum sp.,Leioproctus boltoni,Leioproctus fulvescens,Leioproctus maritimus,Leioproctus waipounamu,Lycaena feredayi,Lycaena sp.,Lycaena salustis,Melangyna novaezelandiae,Heterocera sp.,Muscidae sp.,Oscinosoma speighti,Pales sp.,Peremptor modicus,Pieris sp.,Pieris rapae,Pipunculidae,Pollenia sp.,Proscissio albiceps,Psilopa sp.,Psilopa mettalica,Pyronota festiva,Scaptia adrel,Sciomyzidae sp.,Simuliidae sp.,Syrphidae sp.,Tachinidae sp.6,Tachinidae sp.7,Tachinidae sp.8,Tachinidae sp.9,Tachinidae sp.10,Tachinidae sp.11,Tachinidae sp.,Tachysphex nigerrimus,Xenocalliphora hortona,Xenosciomyza subalpina,Zealandotachina sp.
Achillea millefolium,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cirsium arvense,0,3,0,0,1,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,1,0,1,1,8,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Corokia cotoneaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
Crepis capillaris,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,4,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dianthus armeria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitalis purpurea,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium pilosella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris radicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucanthemum vulgare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimulus moschatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
