"","Andrena cinerea","Andrena haemorhoa","Andrena ovatula","Andrena senecionis","Andrena sp.","Andrena taraxaci","Andrena tenustriata","Andrena villipes","Anthidium septemsp.inosum","Anthidium sticticum","Apis melifera","Bombilius sp.","Bombus terrestris","Callophrys rubi","Chryptocephalus sp.","Coleoptera sp.3","Coleoptera sp.4","Colletes sp.","Conophorus virescens","Dasytidae sp.","Halictus pyrenaeus","Halictus quadricintus","Hoplitis adunca","Hylaeus variegatus","Lasioglossum bimaculatum","Lasioglossum parvulum","Mordellistena pumila","Oedemera lurida","Oedemera nobilis","Osmia dimidiata","Osmia tricornis","Oxythyrea funesta","Plagiolepsis pigmaea","Psylotrix viridicoerulea","Pyronia tithonus","Sphaerophoeria sp.","Xylocopa Iris","Zygaena sp."
"Carpobrotus affinis",0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,4,9,1,0,0,3,0,2,0,0,1,0
"Cistus albidus",0,0,2,0,6,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,3,0,1,0,0,0,0
"Cistus monspeliensis",0,1,1,0,2,0,0,1,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,3,2,3,13,0,0,0,5,0,0,0,2,0,0
"Cistus salvifolius",0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,3,0,0,5,1,3,0,0,0,0
"Dorichnium pentaphylum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites tomentosa",0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,1,3,0,5,0,0,1,0,0,2
"Helichrisum stoechas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psoralea bituminosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus tenerrinus",1,0,0,6,0,5,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Urospermum picrioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
