,Adela cuprella,Adscita statices,Alliopsis billbergi,Amauronematus Konow,Andrena clarkella,Andrena fulva,Andrena fuscipes,Andrena haemorrhoa,Andrena lapponica,Andrena praecox,Andrena tarsata,Aphantopus hyperanthus,Apis mellifera,Bellardia viarum,Bibio lanigerus,Bombus bohemicus,Bombus hypnorum,Bombus jonellus,Bombus lucorum,Bombus pascuorum,Bombus pratorum,Bombus sylvestris,Bruchidius ater,Calameuta pallipes,Callophrys rubi,Cheilosia albipila,Cheilosia bergenstammi,Cheilosia pagana,Cheilosia psilophthalma,Chrysotoxum bicinctum,Coenonympha pamphilus,Coenosia means,Colletes cunicularius,Coranarta cordigera,Delia florilega,Dolichovespula saxonica,Ectobius sylvestris,Empis aestiva,Empis chioptera,Empis sp.,Empis tessellata,Episyrphus balteatus,Eriothrix rufomaculatus,Eristalinus sepulchralis,Eristalis lineata,Eristalis pertinax,Eristalis tenax,Eupeodes corollae,Formica fusca,Formica rufa,Formica sanguinea,Gonia picea,Helina reversio,Helophilus pendulus,Hercostomus sp.,Heterostylodes nominabilis,Hylaeus confusus,Lasioglossum albipes,Lasioglossum calceatum,Lasioglossum fratellum,Lasioglossum leucopus,Lasioglossum leucozonium,Lasioglossum punctatissimum,Lasioglossum rufitarse,Lasioglossum sp.,Lasioglossum villosulum,Lasius niger,Leucozona lucorum,Lucilia bufonivora,Lycaena virgaureae,Macropis europaea,Maniola jurtina,Melanostoma mellinum,Meligethes aeneus,Melitta haemorrhoidalis,Mellinus arvensis,Miarus campanulae,Micropterix aruncella,Mimesa equestris,Nomada leucophthalma,Oedemera lurida,Panurgus banksianus,Parasyrphus lineolus,Phaonia angelicae,Phaonia incana,Phyllopertha horticola,Pieris napi,Pipiza lugubris,Pipizella viduata,Platycheirus albimanus,Platycheirus peltatus,Pollenia rudis,Prosena siberita,Prosternon tessellatum,Pyrgus malvae,Rhagonycha fulva,Rhagonycha nigriventris,Rhamphomyia nigripennis,Rhamphomyia sp.,Rhingia campestris,Rhinophora lepida,Sarcophaga carnaria,Sarcophaga sp.,Scaeva selenitica,Scathophaga stercoraria,Sciara hemerobioides,Sciara sp.,Sepsis cynipsea,Sericomyia silentis,Sicus ferrugineus,Sphaerophoria fatarum,Sphaerophoria scripta,Sphaerophoria sp.,Stenurella melanura,Syritta pipiens,Syrphus torvus,Thymelicus lineola,Vespula rufa,Vespula vulgaris,Volucella bombylans
Arnica montana,0,2,0,0,0,0,0,0,0,0,0,7,154,0,0,0,0,6,60,106,99,2,0,0,3,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Calluna vulgaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Campanula rotundifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empetrum nigrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Chamaenerium angustifolium,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,4,26,0,0,15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,17,11,8,0,0,0,0,0,0,0,0,0,7,0,0,5,8,0,11,20,0,0,0,0,119,0,0,0,0,0
Erica tetralix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galium saxatile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genista anglica,6,0,0,5,3,6,0,26,0,4,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,2,18,3,5,0,0,0,2,0,0,0,0,0,3,39,0,0,9,2,25,0,23,62,67,9,0,12,0,0,0,0,2,0,0,0,2,4,2,0,0,5,3,0,0,0,5,0,0,0,28,0,0,0,0,2,0,3,6,0,0,0,2,0,0,20,0,0,0,0,0,0,0,6,2,0,0,0,0,2,30,0,0,0,0,0,15,0,23,0,0,15,21,0,8,0
Genista pilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium pilosella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
