motif_id,nodes,position,direct_interactions,type,indirect_interactions,percentage_indirect_interactions
1,2,2,1,pollinator,0,0
2,3,4,2,pollinator,0,0
3,3,6,1,pollinator,1,0.5
4,4,8,1,pollinator,2,0.6666666666666666
5,4,11,1,pollinator,2,0.6666666666666666
5,4,12,2,pollinator,1,0.3333333333333333
6,4,14,2,pollinator,1,0.3333333333333333
7,4,16,3,pollinator,0,0
8,5,18,1,pollinator,3,0.75
9,5,21,1,pollinator,3,0.75
9,5,22,2,pollinator,2,0.5
10,5,24,1,pollinator,3,0.75
10,5,25,2,pollinator,2,0.5
11,5,28,1,pollinator,3,0.75
11,5,29,2,pollinator,2,0.5
12,5,31,2,pollinator,2,0.5
13,5,34,1,pollinator,3,0.75
13,5,35,3,pollinator,1,0.25
14,5,38,2,pollinator,2,0.5
15,5,41,2,pollinator,2,0.5
15,5,42,3,pollinator,1,0.25
16,5,44,3,pollinator,1,0.25
17,5,46,4,pollinator,0,0
1,2,1,1,plant,0,0
2,3,3,1,plant,1,0.5
3,3,5,2,plant,0,0
4,4,7,3,plant,0,0
5,4,10,2,plant,1,0.3333333333333333
5,4,9,1,plant,2,0.6666666666666666
6,4,13,2,plant,1,0.3333333333333333
7,4,15,1,plant,2,0.6666666666666666
8,5,17,4,plant,0,0
9,5,19,1,plant,3,0.75
9,5,20,3,plant,1,0.25
10,5,23,2,plant,2,0.5
11,5,26,2,plant,2,0.5
11,5,27,3,plant,1,0.25
12,5,30,3,plant,1,0.25
13,5,32,1,plant,3,0.75
13,5,33,2,plant,2,0.5
14,5,36,1,plant,3,0.75
14,5,37,2,plant,2,0.5
15,5,39,1,plant,3,0.75
15,5,40,2,plant,2,0.5
16,5,43,2,plant,2,0.5
17,5,45,1,plant,3,0.75
