"Plant_species","Pollinator_species","Interaction","Id","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","Species"
"Aetheorrina bulbosa","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","NA","bisexual","hermaphrodite","NA","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20","NA","NA","5","NA","NA","NA","6","5","7","NA","NA","15","6","24","NA","NA","herb","perennial","0.15","0.45","0.45","goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy  & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research"," https://doi.org/10.2307/2399735 ","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","NA","NA","NA","30","60","NA","NA","NA","NA","30","60","NA","NA","Eleutherine bulbosa"
"Alyssum maritimum","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Brassicales","Brassicaceae","Lobularia","Lobularia maritima","NA","bisexual","hermaphrodite","NA","medium","quantitative","35","NA","35","self_compatible","gomez 2000","journal: oecologia","https://doi.org/10.1007/pl00008840","NA","flower","NA","NA","NA","white","bowl","actinomorphic","4","3","5","NA","NA","NA","NA","0.45","0.4","0.5","NA","NA","2","NA","NA","NA","NA","herb","perennial","0.1","0.4","0.25","Gomez 2000; Gomez 2000; NA","Journal of Evolutionary Biology; journal: Oecologia; online: http://ucjeps.berkeley.edu/","https://doi.org/10.1046/j.1420-9101.2000.00196.x","https://doi.org/10.1007/pl00008840","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lobularia maritima"
"Cistus albidus","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus albidus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","217","self_incompatible","blasco & mateu","journal: acta botanica gallica","10.1080/12538078.1995.10515713","NA","flower","no","NA","no","pink","dish","actinomorphic","50","40","60","7","NA","NA","NA","NA","NA","NA","NA","NA","94.78","NA","NA","14.3","9","shrub","perennial","NA","1","0.5","blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992","journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus albidus"
"Cistus albidus","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus albidus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","217","self_incompatible","blasco & mateu","journal: acta botanica gallica","10.1080/12538078.1995.10515713","NA","flower","no","NA","no","pink","dish","actinomorphic","50","40","60","7","NA","NA","NA","NA","NA","NA","NA","NA","94.78","NA","NA","14.3","9","shrub","perennial","NA","1.5","0.75","blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992","journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus albidus"
"Cistus monspeliensis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus monspeliensis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15","10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA","20.67","NA","NA","1.83","9","shrub","perennial","NA","1","0.5","NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus monspeliensis"
"Cistus monspeliensis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus monspeliensis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15","10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA","20.67","NA","NA","1.83","9","shrub","perennial","NA","1","0.5","NA; bosch 1992; NA","online: http://www.efloras.org/; journal: botanical journal of the linnean society; ONLINE: https://ucjeps.berkeley.edu/","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus monspeliensis"
"Cistus salvifolius","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus salviifolius","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20","15","25","5","NA","NA","NA","NA","NA","NA","NA","NA","76.89","NA","NA","9.42","9","shrub","perennial","0.4","1.5","0.95","NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus salviifolius"
"Cistus salvifolius","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus salviifolius","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20","15","25","5","NA","NA","NA","NA","NA","NA","NA","NA","76.89","NA","NA","9.42","9","shrub","perennial","0.4","1.5","0.95","NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus salviifolius"
"Convolvulus althaeoides","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","22.5","20","25","17.5","15","20","NA","7.5","5","10","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","NA","1","NA; wood et a., 2015","online: http://www.maltawildplants.com/; journal: phytokeys","NA","http://dx.doi.org/10.3897/phytokeys.51.7104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Convolvulus althaeoides"
"Convolvulus althaeoides","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","22.5","20","25","17.5","15","20","NA","7.5","5","10","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","NA","1","NA; wood et a., 2015","online: http://www.maltawildplants.com/; journal: phytokeys","NA","http://dx.doi.org/10.3897/phytokeys.51.7104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Convolvulus althaeoides"
