"","db","query","order","family","genus","genus_old"
"1","itis","25","Lepidoptera","Adelidae",NA,"Adelidae"
"2","itis","81","Hymenoptera","Apidae","Amegilla","Amegilla"
"3","itis","100","Hymenoptera","Andrenidae","Andrena","Andrena"
"4","itis","121","Hymenoptera","Megachilidae","Anthidium","Anthidium"
"5","itis","135","Hymenoptera","Apidae","Anthophora","Anthophora"
"6","itis","148","Hymenoptera","Apidae","Apis","Apis"
"7","itis","241","Diptera","Bibionidae",NA,"Bibionidae"
"8","itis","256","Hymenoptera","Apidae","Bombus","Bombus"
"9","itis","260","Diptera","Bombyliidae",NA,"Bombyliidae"
"10","itis","498","Coleoptera",NA,NA,"Coleoptera"
"11","itis","501","Hymenoptera","Colletidae","Colletes","Colletes"
"12","itis","522","Diptera","Bombyliidae","Conophorus","Conophorus"
"13","itis","559",NA,NA,NA,"Criptocephalus"
"14","itis","876","Hymenoptera","Halictidae","Halictus","Halictus"
"15","itis","961","Hymenoptera","Colletidae","Hylaeus","Hylaeus"
"16","itis","986","Hymenoptera","Ichneumonidae",NA,"Ichneumonidae"
"17","itis","1026","Hymenoptera","Halictidae","Lasioglossum","Lasioglossum"
"18","itis","1147","Hymenoptera","Megachilidae","Megachile","Megachile"
"19","itis","1157","Hymenoptera","Megachilidae",NA,"Megachilidae"
"20","itis","1159",NA,NA,NA,"Megaquile"
"21","itis","1217",NA,NA,NA,"Milichidae"
"22","itis","1237","Coleoptera","Mordellidae","Mordellistena","Mordellistena"
"23","itis","1304","Hymenoptera","Apidae","Nomada","Nomada"
"24","itis","1327","Diptera","Ceratopogonidae","Atrichopogon","Oedemera"
"25","itis","1379","Hymenoptera","Megachilidae","Osmia","Osmia"
"26","itis","1387",NA,NA,NA,"Oxythyrea"
"27","itis","1532",NA,NA,NA,"Plagiolepsis"
"28","itis","1559","Hymenoptera","Vespidae","Polistes","Polistes"
"29","itis","1641",NA,NA,NA,"Psilothrix"
"30","itis","1656","Coleoptera","Ptinidae",NA,"Ptinidae"
"31","itis","1790",NA,NA,NA,"Sphaerophoeria"
"32","itis","1796","Hymenoptera","Halictidae","Sphecodes","Sphecodes"
"33","itis","2065",NA,NA,"Zygaena","Zygaena"
"34","itis","49","Diptera","Agromyzidae",NA,"Agromyzidae"
"35","itis","63","Diptera","Syrphidae","Allograpta","Allograpta"
"36","itis","83",NA,NA,NA,"Ammophila"
"37","itis","132","Diptera","Anthomyiidae",NA,"Anthomyiidae"
"38","itis","154","Hymenoptera",NA,NA,"Apoidea"
"39","itis","155",NA,NA,"Aporia","Aporia"
"40","itis","164","Hymenoptera","Argidae",NA,"Argidae"
"41","itis","177",NA,NA,NA,"Asarkina"
"42","itis","239",NA,NA,NA,"Betasyrphus"
"43","itis","314","Diptera","Calliphoridae",NA,"Calliphoridae"
"44","itis","323","Hymenoptera","Formicidae","Camponotus","Camponotus"
"45","itis","336","Coleoptera","Cantharidae",NA,"Cantharidae"
"46","itis","340","Diptera","Tachinidae","Carcelia","Carcelia"
"47","itis","378","Hymenoptera","Apidae","Ceratina","Ceratina"
"48","itis","405","Diptera","Syrphidae","Chalcosyrphus","Chalcosyrphus"
"49","itis","415","Diptera","Syrphidae","Cheilosia","Cheilosia"
"50","itis","466","Neuroptera","Chrysopidae",NA,"Chrysopidae"
"51","itis","484","Coleoptera","Coccinellidae",NA,"Coccinellidae"
"52","itis","487","Hymenoptera","Megachilidae","Coelioxys","Coelioxys"
"53","itis","500","Lepidoptera","Pieridae","Colias","Colias"
